cohort,pc,variable,metric,value,p_value_unadjusted
GSE174188,1,label,pearson_r,0.17855561306229367,0.0038024520614162154
GSE174188,1,cells_per_donor,pearson_r,-0.21258948844006773,0.0005449900781912556
GSE174188,1,mean_umi_per_cell,pearson_r,0.8717025422557574,3.3333849724351216e-82
GSE174188,1,mean_genes_per_cell,pearson_r,0.9623307606888776,1.643283183633266e-148
GSE174188,1,mean_pct_mito,pearson_r,-0.0547743613375649,0.3781439461100768
GSE174188,1,n_samples,pearson_r,0.2449394649705073,6.355361321551673e-05
GSE174188,1,n_libraries,pearson_r,-0.028433602143842194,0.647493872433604
GSE174188,1,n_suspensions,pearson_r,0.09229353603898119,0.13699723510409503
GSE174188,1,sex,eta_squared_r2,0.006841405756643937,0.1678491996852675
GSE174188,1,ethnicity,eta_squared_r2,0.04701787941984148,0.005461351662258199
GSE174188,1,processing_cohort,eta_squared_r2,0.4806059272499047,2.377540800574035e-36
GSE174188,1,development_stage,eta_squared_r2,0.2384484566860482,0.19038214377184692
GSE174188,2,label,pearson_r,0.3793916979053656,2.3217415477614263e-10
GSE174188,2,cells_per_donor,pearson_r,-0.10705330277035603,0.08431835576955612
GSE174188,2,mean_umi_per_cell,pearson_r,-0.17118859139131093,0.005556607089434356
GSE174188,2,mean_genes_per_cell,pearson_r,-0.11174753856973738,0.07149500461881761
GSE174188,2,mean_pct_mito,pearson_r,-0.4736813815974027,5.294036669636986e-16
GSE174188,2,n_samples,pearson_r,0.13363119704020063,0.030911939780308078
GSE174188,2,n_libraries,pearson_r,-0.07580751057985459,0.22224261777267623
GSE174188,2,n_suspensions,pearson_r,0.21838972577566612,0.0003790481803190586
GSE174188,2,sex,eta_squared_r2,-0.00014304459910596812,0.9261004206317909
GSE174188,2,ethnicity,eta_squared_r2,0.07313811799870318,0.000197987423016119
GSE174188,2,processing_cohort,eta_squared_r2,0.40667142677531787,4.5720470350184665e-29
GSE174188,2,development_stage,eta_squared_r2,0.3079194265034,0.004592542695648455
GSE174188,3,label,pearson_r,-0.1640054994727767,0.007933833675789445
GSE174188,3,cells_per_donor,pearson_r,0.17707999162300872,0.00410735165566891
GSE174188,3,mean_umi_per_cell,pearson_r,0.27753586856916845,5.315190512477899e-06
GSE174188,3,mean_genes_per_cell,pearson_r,0.09753962593091735,0.1159533684435312
GSE174188,3,mean_pct_mito,pearson_r,0.091776418931761,0.13922074665147174
GSE174188,3,n_samples,pearson_r,-0.2358704652014988,0.00011970514113580994
GSE174188,3,n_libraries,pearson_r,-0.014444712789263733,0.8163411321451403
GSE174188,3,n_suspensions,pearson_r,-0.18645559759548466,0.0024913485096867316
GSE174188,3,sex,eta_squared_r2,0.003683539380017198,0.05820151580126411
GSE174188,3,ethnicity,eta_squared_r2,0.0637668951801792,0.0002240724597706303
GSE174188,3,processing_cohort,eta_squared_r2,0.18597163927914828,1.79781840626467e-11
GSE174188,3,development_stage,eta_squared_r2,0.19703486678469362,0.5971121135568094
GSE174188,4,label,pearson_r,-0.5644271697369478,2.3289626939285296e-23
GSE174188,4,cells_per_donor,pearson_r,0.32428751650090065,8.349379648317337e-08
GSE174188,4,mean_umi_per_cell,pearson_r,0.24412373149180996,6.734524290794162e-05
GSE174188,4,mean_genes_per_cell,pearson_r,0.15052367125787924,0.014933168923785161
GSE174188,4,mean_pct_mito,pearson_r,0.042996458008977875,0.48917924361270254
GSE174188,4,n_samples,pearson_r,0.051203356962265,0.4100614142149668
GSE174188,4,n_libraries,pearson_r,0.150943852295993,0.01465196837405111
GSE174188,4,n_suspensions,pearson_r,-0.0188240405481202,0.7621346466959877
GSE174188,4,sex,eta_squared_r2,0.030104076068600882,0.0011307323296243638
GSE174188,4,ethnicity,eta_squared_r2,0.06541528636453031,0.00012268155145047304
GSE174188,4,processing_cohort,eta_squared_r2,0.40273556955307865,9.900774481564388e-29
GSE174188,4,development_stage,eta_squared_r2,0.31463749265808005,0.002844459132241775
GSE174188,5,label,pearson_r,-0.21843846960460586,0.0003778780201377699
GSE174188,5,cells_per_donor,pearson_r,-0.14754382713728667,0.017066531747659357
GSE174188,5,mean_umi_per_cell,pearson_r,0.03462836069981577,0.577582003091573
GSE174188,5,mean_genes_per_cell,pearson_r,0.04989123933412839,0.42217771767594214
GSE174188,5,mean_pct_mito,pearson_r,-0.1975001224199218,0.001341062585490277
GSE174188,5,n_samples,pearson_r,0.033401068191324594,0.5911497565022253
GSE174188,5,n_libraries,pearson_r,-0.17243877724169981,0.0052154330080541825
GSE174188,5,n_suspensions,pearson_r,0.02105377534472923,0.734956978847494
GSE174188,5,sex,eta_squared_r2,-0.0014059084897366514,0.3686648179424562
GSE174188,5,ethnicity,eta_squared_r2,-0.0024644197591925376,0.8834377821504442
GSE174188,5,processing_cohort,eta_squared_r2,0.1543008625352299,2.0010335392563507e-09
GSE174188,5,development_stage,eta_squared_r2,0.2675069370682658,0.05252513102022577
