donor_id,label,cells_per_donor,mean_umi_per_cell,mean_genes_per_cell,mean_pct_mito,metadata_limitations
HD1,0,5824,6741.9067,1745.3878777472528,7.0701675,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
HD10,0,11165,5836.345,1553.8323331840572,3.5216694,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
HD2,0,4464,5937.0034,1572.1393369175628,5.082481,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
HD3,0,13327,5820.164,1599.4798529301418,3.7869682,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
HD4,0,9877,6991.8047,1904.4107522527083,4.875318,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
HD5,0,9272,5244.0923,1490.0861734253667,7.5976486,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
HD6,0,12422,6489.6665,1547.0246337143776,3.3170745,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
HD7,0,9662,6487.9014,1638.6245083833576,4.562656,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
HD8,0,12052,5149.7124,1408.9655658811816,4.903063,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
HD9,0,9775,6513.0576,1682.4286445012788,6.538407,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
SLE1,1,6596,6263.6284,1807.4589144936324,4.8597684,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
SLE10,1,10592,6945.446,1735.9227719033233,3.3613417,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
SLE11,1,9007,6500.213,1751.0496280670588,4.3226824,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
SLE12,1,11015,6844.814,1696.9251021334544,3.5868158,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
SLE13,1,12644,6770.818,1824.5969629863966,4.7044744,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
SLE14,1,7571,7700.4683,2201.7471932373533,4.0463157,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
SLE15,1,9596,6574.604,1664.6823676531887,6.991165,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
SLE16,1,8588,5143.418,1623.806939916162,4.188847,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
SLE2,1,6687,6385.8135,1854.8760281142515,4.1419444,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
SLE3,1,14793,6027.468,1588.353951193132,3.0263686,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
SLE4,1,12885,4962.0166,1460.6880869227784,4.395382,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
SLE5,1,10225,6962.006,2101.923129584352,3.7279844,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
SLE6,1,9491,6657.0884,1751.5201770097988,3.934441,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
SLE7,1,10500,6843.652,1898.9240952380953,3.0629656,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
SLE8,1,12310,7071.2954,2120.7164906580015,3.7185557,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
SLE9,1,12568,6379.2646,1688.4677753023552,3.1280246,"archived object has no batch, site, ancestry, age, sex, treatment, chemistry, lane, or processing-date fields"
