cohort,analysis,method,n,auc,ci_low,ci_high,numeric_covariates,categorical_covariates,n_sle,n_hc
GSE135779,archived_folds_available_covariates,covariates_only,44,0.8567493112947658,0.7327823691460055,0.953168044077135,cells_per_donor;mean_umi_per_cell;mean_genes_per_cell;mean_pct_mito;Age,Batch;Gender;Race;Ethnicity;Collection_year,,
GSE135779,archived_folds_available_covariates,scgpt_covariate_residual,44,0.5509641873278237,0.3526170798898072,0.743801652892562,cells_per_donor;mean_umi_per_cell;mean_genes_per_cell;mean_pct_mito;Age,Batch;Gender;Race;Ethnicity;Collection_year,,
GSE135779,archived_folds_available_covariates,pca_covariate_residual,44,0.6308539944903582,0.4103994490358127,0.8292011019283747,cells_per_donor;mean_umi_per_cell;mean_genes_per_cell;mean_pct_mito;Age,Batch;Gender;Race;Ethnicity;Collection_year,,
GSE135779,archived_folds_available_covariates,hvg_covariate_residual,44,0.765840220385675,0.5757575757575757,0.9228650137741046,cells_per_donor;mean_umi_per_cell;mean_genes_per_cell;mean_pct_mito;Age,Batch;Gender;Race;Ethnicity;Collection_year,,
GSE285773,archived_folds_available_covariates,covariates_only,26,0.7812499999999999,0.575,0.95,cells_per_donor;mean_umi_per_cell;mean_genes_per_cell;mean_pct_mito,,,
GSE285773,archived_folds_available_covariates,scgpt_covariate_residual,26,0.81875,0.625,0.9562499999999999,cells_per_donor;mean_umi_per_cell;mean_genes_per_cell;mean_pct_mito,,,
GSE285773,archived_folds_available_covariates,pca_covariate_residual,26,0.86875,0.69375,0.9875,cells_per_donor;mean_umi_per_cell;mean_genes_per_cell;mean_pct_mito,,,
GSE285773,archived_folds_available_covariates,hvg_covariate_residual,26,0.775,0.55,0.95,cells_per_donor;mean_umi_per_cell;mean_genes_per_cell;mean_pct_mito,,,
GSE174188,archived_folds_available_covariates,covariates_only,261,0.9281082429230577,0.8964958224217484,0.9558548447437336,cells_per_donor;mean_umi_per_cell;mean_genes_per_cell;mean_pct_mito;age;n_samples;n_libraries;n_suspensions,sex;ethnicity;processing_cohort,,
GSE174188,archived_folds_available_covariates,scgpt_covariate_residual,261,0.7035789998752962,0.6374859708193041,0.765745417134306,cells_per_donor;mean_umi_per_cell;mean_genes_per_cell;mean_pct_mito;age;n_samples;n_libraries;n_suspensions,sex;ethnicity;processing_cohort,,
GSE174188,archived_folds_available_covariates,pca_covariate_residual,261,0.6523880783140042,0.5844837261503929,0.7182971692230952,cells_per_donor;mean_umi_per_cell;mean_genes_per_cell;mean_pct_mito;age;n_samples;n_libraries;n_suspensions,sex;ethnicity;processing_cohort,,
GSE174188,archived_folds_available_covariates,hvg_covariate_residual,261,0.6715301159745605,0.6049975059234319,0.7360643471754583,cells_per_donor;mean_umi_per_cell;mean_genes_per_cell;mean_pct_mito;age;n_samples;n_libraries;n_suspensions,sex;ethnicity;processing_cohort,,
GSE174188,managed_or_control_only,scgpt,245,0.9791753147917531,0.9628476546284765,0.9920454545454546,,,146.0,99.0
GSE174188,managed_or_control_only,expression_pca,245,0.9750242147502421,0.9573820395738204,0.9892763248927633,,,146.0,99.0
GSE174188,managed_or_control_only,hvg_pseudobulk,245,0.9833264148332641,0.9665144596651446,0.995364604953646,,,146.0,99.0
GSE174188,single_sample_donors_only,scgpt,250,0.96039868887551,0.9376546926215801,0.979195932838317,,,151.0,99.0
GSE174188,single_sample_donors_only,expression_pca,250,0.9581911833567462,0.9347782460365242,0.9781925212388789,,,151.0,99.0
GSE174188,single_sample_donors_only,hvg_pseudobulk,250,0.976653956786407,0.9582580774633755,0.9908355073917987,,,151.0,99.0
