Unnamed: 0,B-caSC0,B-caSC1,B-caSC2,B-caSC3,B-caSC4,B-caSC5,B-caSC6,B-caSC7,cDC-caSC0,cDC-caSC1,cDC-caSC2,cDC-caSC3,Eryth,mgk,Mono-caSC0,Mono-caSC1,Mono-caSC2,Mono-caSC3,Mono-caSC4,Mono-caSC5,NK-caSC0,NK-caSC1,NK-caSC2,NK-caSC3,PC-caSC0,PC-caSC1,pDC-caSC0,pDC-caSC1,pDC-caSC2,pDC-caSC3,pDC-caSC4,T-caSC0,T-caSC1,T-caSC2,T-caSC3,T-caSC4,T-caSC5,T-caSC6,T-caSC7
cHD1,33,1045,431,2,146,17,15,72,54,35,2,21,1,10,20,970,351,170,32,81,582,147,149,3,0,15,35,9,3,2,11,3444,660,2098,635,73,710,27,59
cHD2,94,645,195,1,121,15,23,63,42,15,1,5,2,3,49,255,28,110,34,6,161,3,40,2,1,21,18,1,1,2,1,3831,678,672,351,68,346,30,58
cHD3,175,257,134,2,102,14,29,22,19,11,1,3,1,7,19,452,195,45,7,60,680,347,135,10,0,4,20,7,10,2,4,2905,910,165,453,148,721,8,92
cHD4,38,97,161,2,69,11,22,46,10,7,1,17,0,5,30,220,123,116,37,184,344,243,127,7,0,4,0,4,3,1,0,1206,887,200,601,190,293,29,230
cHD5,112,34,127,9,69,21,53,44,9,19,3,4,3,4,46,270,219,148,44,81,284,328,87,7,0,5,1,12,8,0,2,598,552,678,344,205,414,21,193
cHD6,106,119,180,4,296,25,69,136,20,6,1,7,4,5,4,74,48,64,14,133,115,72,50,4,0,12,6,4,3,0,1,1834,1778,360,549,250,451,16,401
cHD7,171,79,198,7,173,36,52,74,28,12,1,8,5,6,24,101,85,170,45,31,126,183,122,5,1,8,3,17,5,0,4,1842,1392,195,300,188,397,48,319
cHD8,206,138,121,4,98,14,70,71,23,15,0,6,0,8,5,98,151,87,23,80,531,555,106,6,0,14,6,17,11,2,7,1550,766,654,437,264,332,13,337
cHD9,289,100,98,17,149,41,80,75,22,22,5,7,0,6,36,192,380,106,50,141,332,309,97,13,0,11,4,7,6,2,0,1431,860,130,517,289,665,32,271
cHD10,122,312,166,5,242,16,78,73,8,3,0,3,0,6,4,152,80,80,9,30,128,60,85,3,0,10,3,1,1,0,0,2048,494,111,699,155,296,12,205
cHD11,203,81,116,6,194,20,65,42,20,20,1,12,0,13,25,312,296,102,22,33,187,275,105,4,2,11,9,5,8,0,0,1398,1189,206,437,226,206,26,322
cSLE1,456,54,64,436,57,76,115,82,9,3,37,0,0,9,753,71,57,60,223,134,15,15,42,29,0,0,1,1,1,4,0,229,331,67,28,216,220,213,113
cSLE2,580,68,57,68,58,35,81,30,10,9,17,1,1,1,345,113,151,102,203,321,15,29,19,32,0,0,1,5,4,11,1,766,518,255,115,388,107,117,185
cSLE3,132,4,58,118,10,49,16,12,0,7,10,0,0,2,659,101,46,212,252,83,19,30,22,88,5,5,0,1,1,2,0,364,297,279,23,280,141,277,80
cSLE4,208,5,84,26,12,67,29,7,2,5,17,3,0,3,267,259,240,99,196,977,58,59,135,40,0,0,1,18,8,12,0,659,835,230,93,434,380,118,240
cSLE5,103,149,53,1,28,3,27,9,22,40,4,18,0,2,38,474,320,91,60,104,75,40,59,6,0,4,0,7,6,0,1,802,434,110,238,137,344,10,97
cSLE6,231,39,45,1,12,4,35,19,8,15,3,10,1,9,47,727,1031,84,101,179,46,31,43,1,0,0,2,1,4,0,0,899,133,208,293,433,342,6,53
cSLE7,170,6,43,79,5,47,25,11,0,0,15,0,17,18,317,38,18,85,172,205,22,21,24,99,0,0,0,0,2,6,1,261,415,442,32,292,122,450,115
cSLE8,152,11,135,38,3,176,18,3,3,0,6,0,7,1,137,10,29,36,82,39,41,43,27,21,1,0,0,1,1,3,1,1020,778,1174,69,683,450,291,222
cSLE9,37,223,156,6,105,26,22,41,40,12,18,9,36,3,520,895,273,139,155,241,364,146,117,38,0,2,9,0,1,4,0,3596,2010,682,673,437,507,188,191
cSLE10,13,678,567,2,46,43,1,5,16,21,5,0,15,11,503,2188,293,39,51,60,369,23,38,19,1,9,9,0,0,0,1,4243,770,601,611,74,448,266,68
cSLE11,199,13,54,968,1,342,26,1,0,0,0,0,112,13,2839,19,4,9,709,1,19,10,134,756,58,18,0,0,1,16,3,260,71,847,1,288,92,813,14
cSLE12,50,34,7,3,3,6,1,2,7,7,0,0,148,21,35,622,459,7,15,79,56,10,16,4,2,0,0,0,0,0,0,382,10,226,354,100,76,7,1
cSLE13,18,314,176,0,18,15,11,6,14,20,0,2,0,3,1,341,490,91,20,56,98,11,29,0,1,61,10,1,1,0,1,1542,157,628,471,62,250,1,17
cSLE14,6,0,7,2,0,8,0,0,5,0,14,0,0,4,997,125,130,21,95,295,12,2,98,355,1,1,0,1,0,9,0,135,10,794,94,589,168,141,6
cSLE15,179,148,37,5,27,11,25,32,5,2,0,1,0,4,20,181,99,10,4,26,44,35,28,4,0,0,8,0,3,1,0,2000,1414,905,181,153,103,29,100
cSLE16,103,148,62,73,82,59,10,36,3,0,5,0,0,1,191,85,21,64,18,9,46,29,11,52,0,1,1,0,0,3,0,1738,671,154,251,250,53,699,66
cSLE17,347,86,80,199,85,154,30,26,1,1,6,0,0,19,591,373,67,67,71,25,28,16,45,176,1,1,2,0,0,4,1,1745,262,37,134,237,58,646,35
cSLE18,8,1,33,434,1,265,11,2,0,0,15,0,0,2,817,2,1,1,42,0,3,1,5,156,78,32,0,0,0,6,0,22,17,288,0,353,37,197,4
cSLE19,15,1,35,143,1,86,11,9,0,2,29,0,2,2,662,33,25,193,185,7,2,5,78,163,35,39,0,1,3,10,1,313,287,896,113,1641,201,802,151
cSLE20,38,25,114,1,19,4,10,5,15,16,0,17,2,3,13,298,159,22,16,41,88,34,32,2,0,10,1,4,1,0,0,788,1218,518,492,255,313,13,277
cSLE21,50,4,28,92,6,173,13,4,0,0,0,0,59,6,378,81,9,14,36,2,10,3,22,49,3,4,0,0,0,0,0,68,84,552,30,248,17,301,33
cSLE22,7,180,77,1,24,1,17,2,24,11,3,6,38,3,99,556,39,9,30,1,83,25,41,6,0,1,9,0,3,2,0,970,388,132,243,79,218,47,91
cSLE23,18,7,68,101,5,170,13,18,4,3,13,0,87,30,435,31,3,119,107,3,13,16,29,104,25,27,0,0,0,0,0,160,111,578,17,234,39,397,52
cSLE24,59,92,49,355,128,41,47,268,1,4,1,0,0,5,406,102,6,82,93,0,61,48,118,225,12,17,0,0,0,1,0,510,480,930,205,232,154,403,111
cSLE25,85,90,262,13,78,43,19,16,21,17,30,6,0,1,764,592,108,30,82,18,43,15,12,14,5,10,3,0,1,2,0,546,330,468,285,316,117,122,51
cSLE26,208,20,100,227,31,176,39,28,3,0,13,0,5,3,667,63,19,133,279,10,11,24,54,158,8,5,2,1,0,10,0,817,526,289,41,559,66,582,142
cSLE27,10,5,17,455,2,190,6,2,2,0,15,0,21,0,1213,4,0,20,109,1,2,0,14,255,71,15,0,0,0,14,0,102,48,653,3,592,77,1501,31
cSLE28,61,26,15,21,6,18,7,1,11,2,37,0,118,2,1340,212,54,136,271,20,52,20,58,88,1,0,2,1,0,8,0,86,15,483,49,190,219,100,4
cSLE29,18,38,33,3,19,12,5,14,16,12,2,4,0,7,65,211,110,19,30,14,122,70,44,3,1,8,8,2,1,1,1,1407,577,1054,243,196,669,28,109
cSLE30,175,62,118,7,96,23,51,60,28,16,1,6,1,6,4,232,230,245,28,58,320,211,104,7,1,11,3,3,2,0,0,1491,1826,80,436,272,376,2,444
cSLE31,55,29,30,45,14,39,20,5,1,1,5,0,7,2,279,164,13,15,14,4,55,36,24,161,0,0,1,0,0,7,2,729,533,162,149,389,88,570,224
cSLE32,419,28,32,124,104,8,89,17,6,2,8,1,35,6,279,314,84,190,145,11,76,129,108,120,1,2,7,9,2,11,0,402,238,1489,419,429,528,24,92
cSLE33,52,341,310,11,168,31,42,36,18,15,3,9,1,1,69,249,184,102,40,44,88,65,62,39,1,9,12,9,7,2,1,1789,684,1077,463,309,501,49,220
aHD1,161,11,81,6,18,22,31,8,20,6,6,3,4,10,44,90,237,190,86,56,185,80,152,14,1,11,3,7,8,3,4,490,1216,852,528,769,712,35,426
aHD2,59,92,158,0,30,35,19,9,35,35,1,11,0,10,5,207,483,293,75,72,577,346,188,6,0,1,14,9,4,2,3,943,385,187,618,172,543,1,126
aHD3,70,62,155,2,56,24,27,8,30,39,2,10,0,13,26,944,921,185,73,81,232,222,90,10,0,0,5,13,16,0,0,461,464,699,796,293,628,6,144
aHD4,82,122,193,0,97,26,45,15,19,20,1,3,0,10,4,163,238,85,24,17,338,52,86,0,1,10,2,5,11,0,0,850,521,755,1231,280,529,19,249
aHD5,56,90,189,1,60,29,43,22,19,30,3,1,7,10,38,694,939,197,38,106,396,349,110,11,0,6,35,39,29,3,6,1016,683,185,973,383,422,10,273
aHD6,95,32,133,1,57,24,52,20,34,23,3,17,9,16,26,177,131,50,18,16,185,306,136,23,4,21,7,9,14,2,1,1235,3798,629,769,836,491,66,1441
