cohort,covariate_model,numeric,categorical,n_numeric,n_categorical,auc,pr_auc,brier,delta_vs_full
GSE174188_CD4,full_formal_9num_1cat,"cells_per_donor,mean_umi_per_cell,mean_genes_per_cell,mean_pct_mito,age_from_development_stage,n_samples,n_libraries,n_suspensions,processing_cohort",sex,9,1,0.8482354408280334,0.906104457507569,0.16075581160273192,0.0
GSE174188_CD4,technical_depth,"cells_per_donor,mean_umi_per_cell,mean_genes_per_cell,mean_pct_mito",,4,0,0.7760942760942762,0.8553999616420803,0.1952802021263808,-0.0721411647337572
GSE174188_CD4,demographic,age_from_development_stage,sex,1,1,0.6530739493702457,0.7229971162022611,0.23678642228916405,-0.19516149145778772
GSE174188_CD4,processing,"n_samples,n_libraries,n_suspensions,processing_cohort",,4,0,0.6848422496570644,0.778884268227205,0.21680283171824968,-0.16339319117096895
GSE174188_CD4,sensitivity_processing_cohort_onehot,"cells_per_donor,mean_umi_per_cell,mean_genes_per_cell,mean_pct_mito,age_from_development_stage,n_samples,n_libraries,n_suspensions","sex,processing_cohort",8,2,0.9301035041775781,0.9632517734212498,0.105957241307423,0.08186806334954477
GSE174188_CD4,leave_out_technical_depth,"age_from_development_stage,n_samples,n_libraries,n_suspensions,processing_cohort",sex,5,1,0.7493453049008605,0.8375866304066576,0.2022530874123034,-0.09889013592717288
GSE174188_CD4,leave_out_demographic,"cells_per_donor,mean_umi_per_cell,mean_genes_per_cell,mean_pct_mito,n_samples,n_libraries,n_suspensions,processing_cohort",,8,0,0.8254146402294549,0.9001921412663509,0.1735679640611943,-0.022820800598578495
GSE174188_CD4,leave_out_processing,"cells_per_donor,mean_umi_per_cell,mean_genes_per_cell,mean_pct_mito,age_from_development_stage",sex,5,1,0.7969821673525377,0.8518668243359575,0.1844165453356979,-0.051253273475495686
GSE174188_CD4,single_cells_per_donor,cells_per_donor,,1,0,0.6891133557800225,0.7745669792766938,0.22459607435520887,-0.15912208504801084
GSE174188_CD4,single_mean_umi_per_cell,mean_umi_per_cell,,1,0,0.5314253647586981,0.6153445712876171,0.2496774719256977,-0.3168100760693353
GSE174188_CD4,single_mean_genes_per_cell,mean_genes_per_cell,,1,0,0.44643970569896496,0.5548912155531363,0.2519154732068824,-0.4017957351290684
GSE174188_CD4,single_mean_pct_mito,mean_pct_mito,,1,0,0.614041651078688,0.7534915315552065,0.24449136796361576,-0.23419378974934535
GSE174188_CD4,single_age_from_development_stage,age_from_development_stage,,1,0,0.6394812320738248,0.692074269523755,0.2408894193528522,-0.20875420875420858
GSE174188_CD4,single_n_samples,n_samples,,1,0,0.520264372116224,0.6569316168980448,0.24312075385372856,-0.32797106871180937
GSE174188_CD4,single_n_libraries,n_libraries,,1,0,0.4814191295672777,0.6012042359296472,0.24741494415901022,-0.36681631126075565
GSE174188_CD4,single_n_suspensions,n_suspensions,,1,0,0.56821299413892,0.7116662793335061,0.23126126553271006,-0.28002244668911336
GSE174188_CD4,single_processing_cohort,processing_cohort,,1,0,0.4594089038533483,0.5816974054501307,0.25058330175171634,-0.38882653697468506
GSE174188_CD4,single_sex,,sex,0,1,0.5203578999875296,0.6399416252370123,0.2458187434660221,-0.3278775408405038
