cohort,method_a,method_b,status,n_donors,auc_a,auc_b,delta_auc,ci_low,ci_high,bootstrap_p_two_sided,mean_delta,sd_delta,holm_p
GSE135779_matched500,raw_pseudobulk,scgpt_mean,success,44,0.9724517906336088,0.8457300275482094,0.1267217630853994,0.038567493112947715,0.2341597796143251,0.0017998200179982,0.12642479338842974,0.04967128471460312,0.0323967603239676
GSE135779_matched500,donor_expression_pca,scgpt_mean,success,44,0.9146005509641874,0.8457300275482094,0.06887052341597799,0.011019283746556474,0.1460055096418733,0.013398660133986601,0.06899063360881542,0.034518686805630035,0.1875812418758124
GSE135779_matched500,donor_mean_hvg,scgpt_mean,success,44,0.8925619834710743,0.8457300275482094,0.04683195592286493,-0.038567493112947604,0.14049586776859502,0.26277372262773724,0.04714297520661157,0.04438425300742074,1.0
GSE135779_matched500,geneformer_mean,scgpt_mean,success,44,0.9256198347107438,0.8457300275482094,0.07988980716253447,0.011019283746556585,0.1707988980716253,0.018598140185981403,0.07981652892561983,0.04061024903382732,0.24177582241775825
GSE135779_matched500,focus_lite@scgpt,scgpt_mean,success,44,0.9669421487603306,0.8457300275482094,0.12121212121212122,0.03581267217630846,0.22589531680440778,0.001999800019998,0.1208473829201102,0.04854061074109177,0.0323967603239676
GSE135779_matched500,red@scgpt,scgpt_mean,success,44,0.955922865013774,0.8457300275482094,0.11019283746556463,0.030303030303030165,0.2093663911845729,0.004199580041995801,0.10987961432506886,0.04612972229720772,0.062993700629937
GSE135779_matched500,tail_fractions@scgpt,scgpt_mean,success,44,0.9090909090909091,0.8457300275482094,0.0633608815426997,-0.02203856749311295,0.1570247933884299,0.16898310168983102,0.06333719008264463,0.04659834282370066,1.0
GSE174188_CD4,raw_pseudobulk,scgpt_mean,success,261,0.9879037286444694,0.9783638857712931,0.00953984287317633,-0.002370931537598224,0.023508230452674965,0.11898810118988101,0.009559072203516652,0.006572617770971938,1.0
GSE174188_CD4,donor_expression_pca,scgpt_mean,success,261,0.9856590597331338,0.9783638857712931,0.007295173961840762,-0.00486344930789373,0.02032672403042757,0.23217678232176783,0.007271710936525753,0.006261899241884064,1.0
GSE174188_CD4,donor_mean_hvg,scgpt_mean,success,261,0.9839755580496321,0.9783638857712931,0.0056116722783390305,-0.007170470133433193,0.018892630003741084,0.38396160383961603,0.005563505424616533,0.006548794408109297,1.0
GSE174188_CD4,kme_multiscale@scgpt,scgpt_mean,success,261,0.977865070457663,0.9783638857712931,-0.0004988153136300522,-0.009041027559546055,0.007482229704452004,0.9347065293470653,-0.00047251527621898005,0.004209793987809183,1.0
GSE174188_CD4,focus_lite@scgpt,scgpt_mean,success,261,0.9579124579124579,0.9783638857712931,-0.020451427858835136,-0.036662925551814496,-0.006796358648210488,0.0017998200179982,-0.020423712432971693,0.00762192308585009,0.0323967603239676
GSE174188_CD4,attention_mil,scgpt_mean,success,261,0.9699463773537847,0.9783638857712931,-0.008417508417508324,-0.02307020825539341,0.004052874423244648,0.1967803219678032,-0.0083367502182317,0.0068270896218344595,1.0
GSE174188_CD4,cckme_u_weighted,scgpt_mean,success,261,0.9697593216111734,0.9783638857712931,-0.008604564160119677,-0.023257263998004762,0.0029928918817806486,0.1725827417258274,-0.008548254146402296,0.00668938707102072,1.0
GSE285773,raw_pseudobulk,scgpt_mean,success,26,0.95625,0.9249999999999999,0.03125000000000011,-0.08749999999999991,0.15625,0.6301369863013698,0.030668750000000005,0.059238901476836296,1.0
GSE285773,donor_expression_pca,scgpt_mean,success,26,0.96875,0.9249999999999999,0.04375000000000007,-0.025000000000000022,0.13749999999999996,0.3047695230476952,0.043048125000000007,0.0416347240624836,1.0
GSE285773,donor_mean_hvg,scgpt_mean,success,26,0.9625,0.9249999999999999,0.03750000000000009,-0.04999999999999993,0.13749999999999996,0.43555644435556445,0.03692,0.045999492609506386,1.0
GSE285773,kme_multiscale@scgpt,scgpt_mean,success,26,0.8624999999999999,0.9249999999999999,-0.0625,-0.16874999999999984,0.012499999999999956,0.17218278172182783,-0.06225625,0.046229281717179084,1.0
