block	null_type	observed_auc_mean	null_n	null_auc_mean	null_auc_p950	null_auc_p990	empirical_upper_p
batch	label_permutation	0.4992424242424242	1000	0.48652341597796145	0.6887052341597796	0.7327823691460055	0.4695304695304695
batch	independent_column_shuffle	0.4992424242424242	250	0.50132782369146	0.6876033057851239	0.7446418732782367	0.5258964143426295
collection_year	label_permutation	0.7207300275482094	1000	0.48224242424242425	0.6763085399449036	0.7424380165289257	0.016983016983016984
collection_year	independent_column_shuffle	0.7207300275482094	250	0.4897796143250689	0.727685950413223	0.7784573002754819	0.05976095617529881
qc	label_permutation	0.7071625344352618	1000	0.4952865013774104	0.6917355371900824	0.7575757575757576	0.03996003996003996
qc	independent_column_shuffle	0.7071625344352618	250	0.4887382920110193	0.6914600550964187	0.7647107438016527	0.043824701195219126
demographic	label_permutation	0.7147382920110192	1000	0.48747520661157023	0.6846418732782368	0.746625344352617	0.03196803196803197
demographic	independent_column_shuffle	0.7147382920110192	250	0.5017190082644628	0.7191460055096418	0.7528787878787878	0.05976095617529881
all	label_permutation	0.9520661157024793	1000	0.5055674931129477	0.6969696969696969	0.7575757575757576	0.000999000999000999
all	independent_column_shuffle	0.9520661157024793	250	0.5133608815426997	0.7024793388429752	0.7617906336088154	0.00398406374501992
