gene	mean_case_log1p_cpm	mean_control_log1p_cpm	delta_case_minus_control	welch_t	welch_p	donor_variance	abs_delta
IFI27	4.4358764	2.0559323	2.379944	15.655304	2.605249e-39	3.0760868	2.379944
IFI44L	4.491729	2.8836386	1.6080902	14.56894	1.3736744e-34	1.6691631	1.6080902
EPSTI1	4.3212256	2.9774601	1.3437655	19.08717	0.0	0.7385965	1.3437655
USP18	2.8162913	1.5824143	1.2338771	14.964189	5.512227e-36	0.94714695	1.2338771
SPATS2L	2.6630237	1.4391223	1.2239014	14.864563	5.650873e-36	0.92610914	1.2239014
IFIT3	2.609049	1.4186919	1.1903572	12.100927	1.2699611e-26	1.1589845	1.1903572
RPS4Y1	1.5673475	0.38256508	1.1847825	6.5766907	2.833265e-10	3.0254796	1.1847825
OAS1	3.1026046	1.9732475	1.1293571	13.517496	8.209673e-32	0.85434705	1.1293571
ISG15	5.56505	4.4863873	1.0786629	16.302494	1.54916e-40	0.6514448	1.0786629
IFI44	3.6552455	2.6412735	1.013972	16.12224	4.66588e-40	0.58072865	1.013972
IFIT1	2.002611	1.0396477	0.9629632	10.921008	8.266223e-23	0.87999254	0.9629632
ENSG00000262211	1.004406	1.9660851	-0.9616791	-11.073449	1.8096836e-22	0.66606605	0.9616791
MX1	3.8573537	2.9012532	0.95610046	13.3549385	7.400406e-31	0.64913785	0.95610046
RSAD2	2.0202792	1.0781562	0.94212294	11.027915	3.495528e-23	0.82652575	0.94212294
IFI6	5.232293	4.2977757	0.9345174	15.396328	2.5789004e-36	0.5423827	0.9345174
XAF1	4.135742	3.2196753	0.9160669	14.563963	3.9095688e-35	0.526517	0.9160669
CMPK2	2.0485592	1.1413392	0.90722	11.743079	1.1651059e-25	0.6844535	0.90722
NPDC1	3.2951028	2.4030907	0.8920121	14.353774	8.360145e-34	0.44180295	0.8920121
OASL	2.0638318	1.1830546	0.88077724	12.937587	7.423805e-30	0.5440505	0.88077724
NOG	1.3751471	2.2450092	-0.8698621	-11.901868	4.4647725e-26	0.54817456	0.8698621
OAS3	2.5221071	1.6907482	0.8313589	13.06289	2.6808303e-30	0.47315586	0.8313589
TNFRSF4	3.7493339	2.9264092	0.8229246	12.081533	6.359014e-26	0.44851512	0.8229246
DONSON	2.1946344	1.3721317	0.82250273	4.311582	2.3123655e-05	2.8402393	0.82250273
ETV7	1.2876691	0.50227875	0.7853903	12.100116	5.194667e-27	0.46491262	0.7853903
TNFRSF18	2.7459686	1.9642835	0.7816851	11.744405	3.7710403e-25	0.43043444	0.7816851
HERC5	3.1294436	2.3531375	0.77630615	12.152965	1.4945642e-26	0.49969086	0.77630615
RGS1	4.505169	3.7665412	0.7386277	9.56474	1.2275261e-18	0.62592936	0.7386277
CISH	2.6431656	1.915863	0.72730255	6.772218	1.187688e-10	0.8486889	0.72730255
SAMD9L	3.6896672	2.9633129	0.72635436	13.08116	2.3208122e-30	0.3599286	0.72635436
HERC6	2.669488	1.9434471	0.72604084	10.468745	1.4274112e-21	0.47476313	0.72604084
IGFL2	0.8362919	0.11080322	0.72548866	10.766026	2.5675517e-21	0.55868006	0.72548866
CELA1	1.8903214	2.6033156	-0.7129942	-10.514524	9.468587e-22	0.46212545	0.7129942
EIF2AK2	4.175437	3.464222	0.711215	12.440733	6.4800267e-28	0.39130306	0.711215
IRF7	3.671569	2.964895	0.7066741	13.566555	7.859252e-32	0.33988222	0.7066741
SH3D19	1.3698714	2.0756476	-0.7057762	-7.1030874	4.8360094e-11	0.610006	0.7057762
FAM13A	3.4628913	2.7658222	0.69706917	9.001097	1.1457313e-16	0.49312267	0.69706917
LMNA	2.9955335	2.299372	0.6961615	9.44497	3.400924e-18	0.48170573	0.6961615
HELZ2	2.3585284	1.6662729	0.6922555	11.201824	7.027485e-24	0.38394874	0.6922555
TIGIT	3.20344	2.5113766	0.69206333	10.706224	2.262376e-22	0.42439204	0.69206333
TGM1	0.8685411	0.17781375	0.69072735	11.566768	4.1364474e-24	0.4423784	0.69072735
LAMP3	1.0809337	0.39708135	0.6838523	9.957312	9.680167e-20	0.51489425	0.6838523
PMAIP1	3.946265	3.2656884	0.68057656	10.927326	4.43837e-23	0.39559692	0.68057656
DDX60	3.014983	2.3345118	0.6804712	11.333013	2.8328382e-24	0.4077941	0.6804712
IRF9	3.8410766	3.1712193	0.66985726	11.666508	1.6210735e-24	0.3081247	0.66985726
BHLHE40	2.6895974	2.020076	0.66952133	10.6198	5.753815e-22	0.3849597	0.66952133
ENSG00000273445	3.496056	2.832914	0.66314197	9.792819	6.0677787e-19	0.39020047	0.66314197
CD70	1.4144988	0.76120394	0.65329486	10.061243	2.7380447e-20	0.41099167	0.65329486
KRT73-AS1	1.6204944	2.2709038	-0.65040946	-10.857972	8.3238526e-23	0.35847884	0.65040946
MB21D2	1.7657883	1.1230778	0.64271057	10.042002	8.9808395e-20	0.35812286	0.64271057
MYO1F	4.1345396	3.4978666	0.636673	10.313292	6.1544377e-20	0.3117464	0.636673
PGAP1	2.4171615	1.7840122	0.63314927	11.25129	3.767351e-24	0.32943913	0.63314927
GBP1	3.5959642	2.96409	0.6318741	12.092891	3.5406882e-26	0.26870212	0.6318741
FUT7	1.8406209	1.2132432	0.6273776	8.729283	4.9306587e-16	0.4363917	0.6273776
PARP9	3.284937	2.6585739	0.62636304	12.333961	9.1289715e-28	0.29683432	0.62636304
LY6E	5.8867145	5.2622337	0.6244807	14.742345	1.2144279e-35	0.24249992	0.6244807
NMUR1	1.1623555	0.544975	0.61738056	8.612866	7.956327e-16	0.45594954	0.61738056
ATG2A	3.5394657	2.9224973	0.6169684	11.288449	6.1525723e-24	0.2908558	0.6169684
MDS2	2.5635417	3.1767547	-0.61321306	-12.586426	3.2386614e-28	0.2912072	0.61321306
RGS16	1.4434865	0.8302776	0.61320883	8.520856	1.322869e-15	0.4817361	0.61320883
OSM	2.6060007	1.9943922	0.6116085	9.410374	3.7848637e-18	0.38022977	0.6116085
EEF1G	3.500368	4.111017	-0.6106491	-6.351673	1.0062791e-09	0.7374215	0.6106491
LGALS3BP	3.6130357	3.002748	0.61028767	13.232639	9.329586e-31	0.24157895	0.61028767
PTGER2	4.003875	3.394503	0.60937166	9.968359	2.7633837e-19	0.31271127	0.60937166
KLF6	5.7394385	5.137402	0.6020365	11.731614	1.5409933e-25	0.26862234	0.6020365
DUSP4	2.185153	1.585528	0.599625	8.380048	3.5016647e-15	0.46223798	0.599625
OAS2	2.7838745	2.1884153	0.5954592	10.5282755	1.4598511e-21	0.3012179	0.5954592
SOCS2	2.85644	2.261304	0.59513617	8.336913	4.5385614e-15	0.470622	0.59513617
ICA1	2.3454654	1.7516918	0.5937736	9.076906	3.0394262e-17	0.39821306	0.5937736
NIBAN1	2.9798265	2.3879087	0.59191775	8.852709	3.870627e-16	0.3561714	0.59191775
TRIM69	2.7665827	2.1777961	0.5887866	10.4343815	2.2375473e-20	0.26499686	0.5887866
H1-4	3.7306685	3.1507266	0.579942	4.7593265	4.2352603e-06	0.87033856	0.579942
BCL2L14	0.9933029	0.41450694	0.5787959	10.3105	4.9294993e-21	0.33541036	0.5787959
CHN1	2.0031977	1.4252828	0.57791483	8.060775	4.8999657e-14	0.40480214	0.57791483
ENSG00000266088	1.902953	1.3294519	0.5735011	8.736823	4.4736506e-16	0.36661974	0.5735011
TSIX	1.1382853	1.7105256	-0.57224035	-6.832646	1.7922554e-10	0.43830594	0.57224035
PDE4B	3.8784811	3.3077846	0.5706966	13.2579775	8.439751e-31	0.20947859	0.5706966
SLC16A10	1.4785633	2.0491738	-0.5706105	-10.138696	2.571551e-20	0.290764	0.5706105
MCOLN3	1.3997682	0.83192384	0.5678444	8.479948	2.0979858e-15	0.38818896	0.5678444
ENSG00000227619	0.87629974	0.31378022	0.56251955	8.354615	5.1699935e-15	0.4585708	0.56251955
MT1E	2.2343006	1.6752625	0.55903816	7.603746	5.4528707e-13	0.47011936	0.55903816
JAKMIP1	1.8286607	1.2757071	0.5529536	9.070163	5.0804507e-17	0.3185062	0.5529536
APOBEC3H	1.3028561	0.75198567	0.5508704	9.953674	7.722634e-20	0.28495556	0.5508704
LAG3	1.9828695	1.4326582	0.5502113	10.416518	1.928174e-21	0.2805261	0.5502113
UTS2	1.9318186	1.3862358	0.5455828	4.0866127	6.262344e-05	1.1596766	0.5455828
SPARC	2.127976	1.5835954	0.54438055	8.257821	1.26781266e-14	0.35064963	0.54438055
PLSCR1	3.2728589	2.7296698	0.54318905	9.487363	2.9837594e-18	0.35460544	0.54318905
DLGAP1	0.66946995	0.12727082	0.54219913	10.426689	8.5631975e-21	0.3158043	0.54219913
CLU	3.1307862	2.5938804	0.53690577	10.345538	6.0070207e-21	0.2493139	0.53690577
