split_seed	model	roc_auc	n_donors	n_case	n_control	delta_vs_geneformer	repeat
20260801	Geneformer	0.9759321611173464	261	162	99	0.0	1
20260801	ISG only	0.8578376356154135	261	162	99	-0.11809452550193289	1
20260801	IFN-residual Geneformer	0.8261628631999002	261	162	99	-0.1497692979174462	1
20260801	ISG plus residual Geneformer	0.9791121087417385	261	162	99	0.00317994762439211	1
20260802	Geneformer	0.9760568649457539	261	162	99	0.0	2
20260802	ISG only	0.8593964334705075	261	162	99	-0.1166604314752464	2
20260802	IFN-residual Geneformer	0.8271604938271605	261	162	99	-0.14889637111859344	2
20260802	ISG plus residual Geneformer	0.9775533108866442	261	162	99	0.0014964459408902675	2
20260803	Geneformer	0.9748098266616785	261	162	99	0.0	3
20260803	ISG only	0.8550941513904476	261	162	99	-0.11971567527123084	3
20260803	IFN-residual Geneformer	0.822733507918693	261	162	99	-0.15207631874298544	3
20260803	ISG plus residual Geneformer	0.9773662551440329	261	162	99	0.002556428482354378	3
20260804	Geneformer	0.9749968824042898	261	162	99	0.0	4
20260804	ISG only	0.8547823918194289	261	162	99	-0.12021449058486089	4
20260804	IFN-residual Geneformer	0.8194288564658936	261	162	99	-0.15556802593839625	4
20260804	ISG plus residual Geneformer	0.9774286070582368	261	162	99	0.0024317246539469206	4
20260805	Geneformer	0.9739368998628257	261	162	99	0.0	5
20260805	ISG only	0.8574635241301909	261	162	99	-0.11647337573263483	5
20260805	IFN-residual Geneformer	0.8188053373238559	261	162	99	-0.15513156253896987	5
20260805	ISG plus residual Geneformer	0.9755580496321237	261	162	99	0.001621149769297947	5
20260806	Geneformer	0.9729392692355655	261	162	99	0.0	6
20260806	ISG only	0.8557800224466892	261	162	99	-0.11715924678887635	6
20260806	IFN-residual Geneformer	0.8212370619778026	261	162	99	-0.15170220725776296	6
20260806	ISG plus residual Geneformer	0.9743110113480484	261	162	99	0.001371742112482921	6
20260807	Geneformer	0.9663299663299663	261	162	99	0.0	7
20260807	ISG only	0.8570270607307645	261	162	99	-0.10930290559920175	7
20260807	IFN-residual Geneformer	0.8118219229330339	261	162	99	-0.15450804339693236	7
20260807	ISG plus residual Geneformer	0.970944007981045	261	162	99	0.004614041651078704	7
20260808	Geneformer	0.9745604190048635	261	162	99	0.0	8
20260808	ISG only	0.8580246913580247	261	162	99	-0.11653572764683873	8
20260808	IFN-residual Geneformer	0.8257263998004739	261	162	99	-0.14883401920438954	8
20260808	ISG plus residual Geneformer	0.9767427360019952	261	162	99	0.0021823169971317835	8
20260809	Geneformer	0.9739368998628257	261	162	99	0.0	9
20260809	ISG only	0.8545329841626138	261	162	99	-0.11940391570021192	9
20260809	IFN-residual Geneformer	0.8155006858710564	261	162	99	-0.15843621399176933	9
20260809	ISG plus residual Geneformer	0.9785509415139044	261	162	99	0.004614041651078704	9
20260810	Geneformer	0.9737498441202145	261	162	99	0.0	10
20260810	ISG only	0.8567153011597455	261	162	99	-0.117034542960469	10
20260810	IFN-residual Geneformer	0.824354657687991	261	162	99	-0.1493951864322235	10
20260810	ISG plus residual Geneformer	0.9766803840877916	261	162	99	0.002930539967577084	10
20260811	Geneformer	0.9753709938895125	261	162	99	0.0	11
20260811	ISG only	0.85496944756204	261	162	99	-0.12040154632747258	11
20260811	IFN-residual Geneformer	0.8180571143534107	261	162	99	-0.15731387953610187	11
20260811	ISG plus residual Geneformer	0.9760568649457538	261	162	99	0.000685871056241294	11
20260812	Geneformer	0.9743110113480483	261	162	99	0.0	12
20260812	ISG only	0.8582740990148398	261	162	99	-0.11603691233320856	12
20260812	IFN-residual Geneformer	0.821424117720414	261	162	99	-0.1528868936276343	12
20260812	ISG plus residual Geneformer	0.9764933283451802	261	162	99	0.0021823169971318945	12
20260813	Geneformer	0.9753086419753085	261	162	99	0.0	13
20260813	ISG only	0.8575882279585983	261	162	99	-0.11772041401671018	13
20260813	IFN-residual Geneformer	0.8228582117471006	261	162	99	-0.15245043022820792	13
20260813	ISG plus residual Geneformer	0.9766803840877915	261	162	99	0.001371742112482921	13
20260814	Geneformer	0.9764309764309764	261	162	99	0.0	14
20260814	ISG only	0.8566529492455418	261	162	99	-0.11977802718543462	14
20260814	IFN-residual Geneformer	0.820613542835765	261	162	99	-0.15581743359521139	14
20260814	ISG plus residual Geneformer	0.9781144781144782	261	162	99	0.0016835016835017313	14
20260815	Geneformer	0.9744357151764559	261	162	99	0.0	15
20260815	ISG only	0.8569023569023568	261	162	99	-0.11753335827409905	15
20260815	IFN-residual Geneformer	0.8193041526374859	261	162	99	-0.15513156253896998	15
20260815	ISG plus residual Geneformer	0.9763686245167726	261	162	99	0.0019329093403167574	15
20260816	Geneformer	0.9725028058361391	261	162	99	0.0	16
20260816	ISG only	0.8529118343933159	261	162	99	-0.11959097144282327	16
20260816	IFN-residual Geneformer	0.8223593964334706	261	162	99	-0.15014340940266857	16
20260816	ISG plus residual Geneformer	0.9745604190048635	261	162	99	0.002057613168724326	16
20260817	Geneformer	0.974934530490086	261	162	99	0.0	17
20260817	ISG only	0.8540341688489836	261	162	99	-0.1209003616411024	17
20260817	IFN-residual Geneformer	0.8260381593714927	261	162	99	-0.14889637111859333	17
20260817	ISG plus residual Geneformer	0.977054495573014	261	162	99	0.0021199650829279992	17
20260818	Geneformer	0.9729392692355654	261	162	99	0.0	18
20260818	ISG only	0.8579623394438208	261	162	99	-0.11497692979174456	18
20260818	IFN-residual Geneformer	0.8253522883152513	261	162	99	-0.14758698092031408	18
20260818	ISG plus residual Geneformer	0.9762439206883651	261	162	99	0.0033046514527996784	18
20260819	Geneformer	0.974934530490086	261	162	99	0.0	19
20260819	ISG only	0.8564035415887267	261	162	99	-0.11853098890135938	19
20260819	IFN-residual Geneformer	0.8267863823419379	261	162	99	-0.14814814814814814	19
20260819	ISG plus residual Geneformer	0.9778027185434592	261	162	99	0.0028681880533731885	19
20260820	Geneformer	0.9731886768923805	261	162	99	0.0	20
20260820	ISG only	0.8544082803342062	261	162	99	-0.1187803965581743	20
20260820	IFN-residual Geneformer	0.8200523756079311	261	162	99	-0.15313630128444944	20
20260820	ISG plus residual Geneformer	0.9743733632622522	261	162	99	0.0011846863698716792	20
