repeat	split_seed	method	adjustment	n_donors	roc_auc	pr_auc	brier
1	20260801	Frozen Geneformer	unadjusted	261	0.9759321611173464	0.9851697881264745	0.06676900690960405
1	20260801	Mean-HVG pseudobulk	unadjusted	261	0.9887766554433222	0.9933294930416298	0.04517821670421898
1	20260801	PCA pseudobulk	unadjusted	261	0.9793615163985534	0.9885133245245559	0.05701308472493918
1	20260801	Covariates only: cell_yield	cell_yield	261	0.6918256640478863	0.7876161211285989	0.2223674038950698
1	20260801	Frozen Geneformer	cell_yield	261	0.9232447936151639	0.9516390195110496	0.11327189204816951
1	20260801	Mean-HVG pseudobulk	cell_yield	261	0.9667664297293928	0.9796121144185962	0.07882138483730038
1	20260801	PCA pseudobulk	cell_yield	261	0.9539219354034169	0.9741975806596381	0.08585389647863548
1	20260801	Covariates only: qc_core	qc_core	261	0.7701084923307145	0.8605127166425378	0.19597094799042955
1	20260801	Frozen Geneformer	qc_core	261	0.8882653697468512	0.9167850035101237	0.13686309790029794
1	20260801	Mean-HVG pseudobulk	qc_core	261	0.9307893752338197	0.9543708861012578	0.10600534664601022
1	20260801	PCA pseudobulk	qc_core	261	0.9027933657563286	0.9385411277599983	0.12647514810990373
1	20260801	Covariates only: acquisition_structure	acquisition_structure	261	0.6215862326973438	0.735482155513951	0.22034307490254393
1	20260801	Frozen Geneformer	acquisition_structure	261	0.9355904726275096	0.962031509736262	0.10664727749937608
1	20260801	Mean-HVG pseudobulk	acquisition_structure	261	0.9610924055368499	0.9790395943257973	0.07284850043372633
1	20260801	PCA pseudobulk	acquisition_structure	261	0.9488714303529119	0.9712535031612065	0.09562029441960362
1	20260801	Covariates only: processing_cohort	processing_cohort	261	0.9186307519640853	0.9395647978071965	0.10803315806785177
1	20260801	Frozen Geneformer	processing_cohort	261	0.7551440329218108	0.852493550356848	0.20027797045006027
1	20260801	Mean-HVG pseudobulk	processing_cohort	261	0.7173587729143285	0.8050535594727156	0.28626155668478476
1	20260801	PCA pseudobulk	processing_cohort	261	0.7426736500810575	0.8564376039751871	0.20518643788317253
1	20260801	Covariates only: demographic	demographic	261	0.6639543583988029	0.7307899497878784	0.23463960145761212
1	20260801	Frozen Geneformer	demographic	261	0.9649582242174836	0.9803322406396777	0.08122820095492735
1	20260801	Mean-HVG pseudobulk	demographic	261	0.9807332585110363	0.9894563011753278	0.07219511656746859
