method	adjustment	auc_mean	auc_sd	auc_q025	auc_q500	auc_q975	pr_auc_mean	brier_mean
Covariates only: acquisition_structure	acquisition_structure	0.6257747225339818	0.008552256634329725	0.6136207756578128	0.6248441202144905	0.6402006172839506	0.7380054495639563	0.2214417222250762
Covariates only: cell_yield	cell_yield	0.6888062726025689	0.002335280285211581	0.684998129442574	0.6884742486594337	0.692452300785634	0.7821762350670477	0.22271182077162774
Covariates only: combined	combined	0.9528931288190547	0.0035591794473662703	0.9456556303778526	0.9528619528619529	0.9580543085172715	0.973185060205202	0.08775084981945376
Covariates only: demographic	demographic	0.6613309016086794	0.003656814150020973	0.6544340004988153	0.6623332086295048	0.6677656191545079	0.7269296117752022	0.2360222234249462
Covariates only: processing_cohort	processing_cohort	0.9219213742361891	0.0033954832880716255	0.9154282017707944	0.9222159870308018	0.9267442947998504	0.9411907016966339	0.10703771740434105
Covariates only: qc_core	qc_core	0.7627384960718294	0.008298677456435309	0.7443618281581245	0.7639356528245418	0.7702721661054994	0.8555662027451241	0.19787466980245894
Frozen Geneformer	acquisition_structure	0.9320675894749968	0.0037168336676535576	0.9240008105748846	0.9331275720164609	0.9361469634617783	0.9593609201104536	0.1091237047608187
Frozen Geneformer	cell_yield	0.9205823668786632	0.0030371476634981544	0.9145825539344058	0.9205324853473003	0.9249641476493329	0.9496240241613488	0.11501094843237211
Frozen Geneformer	combined	0.6736625514403293	0.009278161555782101	0.6545610425240055	0.6739930165856092	0.6855109739368999	0.7987981789850817	0.22735557995585937
Frozen Geneformer	demographic	0.9623113854595337	0.00256896218808842	0.9580496321237062	0.9628694350916573	0.9664281705948372	0.9787869000138363	0.0827771820624585
Frozen Geneformer	processing_cohort	0.7453049008604564	0.0066381743539106475	0.7318010350417758	0.7444506796358649	0.756093340815563	0.8440892453281768	0.20398877028895845
Frozen Geneformer	qc_core	0.8876356154133932	0.003578581350905975	0.8803981169721911	0.8882653697468512	0.892615974560419	0.9177622302041584	0.13683882092653576
Frozen Geneformer	unadjusted	0.9740803092654945	0.002119878213156323	0.9692620650953984	0.9744980670906597	0.9762532734754957	0.9839328841594683	0.06793825302399581
Mean-HVG pseudobulk	acquisition_structure	0.9633027808953735	0.004387148023524493	0.9540996383588977	0.9635864821050006	0.9698216735253773	0.9791408328999294	0.07604216363155542
Mean-HVG pseudobulk	cell_yield	0.9675738870183315	0.0032360124974855405	0.960646589350293	0.9672652450430228	0.9720398428731762	0.9797219800180546	0.07581238579710761
Mean-HVG pseudobulk	combined	0.6248129442573888	0.014385713457623583	0.6057488464895873	0.6222409277964833	0.6464989400174584	0.7443254223545182	0.3270286693695191
Mean-HVG pseudobulk	demographic	0.979090285571767	0.0023842898099904783	0.9744918318992393	0.9790185808704328	0.9824417009602194	0.9883863524420677	0.0725292053101503
Mean-HVG pseudobulk	processing_cohort	0.7104190048634493	0.014904106576361363	0.6876745853597706	0.710001247038284	0.7347783389450057	0.802766765691126	0.2891800334560544
Mean-HVG pseudobulk	qc_core	0.9388951240803092	0.005386175205912815	0.928956228956229	0.940048634493079	0.9466283202394313	0.9591506868279849	0.1010789245608644
Mean-HVG pseudobulk	unadjusted	0.9881219603441826	0.0014323808226583525	0.985166479610924	0.9883713680009977	0.989967577004614	0.9928769113659532	0.04333411072510994
PCA pseudobulk	acquisition_structure	0.9452924304776158	0.00408350047409364	0.9373378850230702	0.9456914827285197	0.951008542212246	0.9683422093870719	0.10006196293740492
PCA pseudobulk	cell_yield	0.9528806584362141	0.0031013484397371277	0.9473375732634992	0.953080184561666	0.9576038159371493	0.9725559490091431	0.08895498785669759
PCA pseudobulk	combined	0.6829062227210375	0.014085134423237973	0.6585998877665544	0.6813817184187554	0.7107525876044394	0.8130843196799324	0.2221328508981053
PCA pseudobulk	demographic	0.9722409277964834	0.0028635900162076425	0.9671374236189051	0.9722533981793241	0.9770732011472752	0.9849006457925654	0.06522738942731589
PCA pseudobulk	processing_cohort	0.7386613044020451	0.006334500813400301	0.7278151889263	0.73774784885896	0.7513717421124828	0.8527804538414869	0.2062225912032377
PCA pseudobulk	qc_core	0.9086793864571643	0.005365636822629058	0.9018627634368376	0.907500935278713	0.9186697219104626	0.9411272266174325	0.1226563093327695
PCA pseudobulk	unadjusted	0.9775346053123831	0.0038302499603693686	0.9681755829903979	0.9782391819428857	0.9818587105624142	0.987182771622517	0.059303077336032906
