cohort	batch	method	n_positive	n_repeats	auc_mean	auc_sd
GSE174188_CD4	1	geneformer	32	5	0.9913755458515284	0.0104806336387932
GSE174188_CD4	2	geneformer	115	5	0.9868969624776652	0.0026995526812083
GSE174188_CD4	3	geneformer	25	5	0.9996610169491524	0.0003555284231085
GSE174188_CD4	4	geneformer	89	5	0.9981186307812908	0.0010072816967544
GSE174188_CD4	1	hvg_pseudobulk	32	5	0.9964519650655024	0.0018450266136632
GSE174188_CD4	2	hvg_pseudobulk	115	5	0.9872304943418702	0.0014112403306367
GSE174188_CD4	3	hvg_pseudobulk	25	5	0.9966440677966104	0.0020769455840054
GSE174188_CD4	4	hvg_pseudobulk	89	5	0.998745753854194	0.0005033018104065
GSE174188_CD4	1	pca_pseudobulk	32	5	0.9966430131004368	0.0011821183312067
GSE174188_CD4	2	pca_pseudobulk	115	5	0.9873377010125074	0.0032509974277364
GSE174188_CD4	3	pca_pseudobulk	25	5	0.9949491525423728	0.0035478426669982
GSE174188_CD4	4	pca_pseudobulk	89	5	0.9924483929971256	0.0023965045749814
GSE135779	B1	geneformer	8	5	0.9930555555555556	0.008143082916360131
GSE135779	B1	hvg_pseudobulk	8	5	0.961111111111111	0.008987624378850522
GSE135779	B1	pca_pseudobulk	8	5	0.961111111111111	0.008289816934939827
GSE135779	B2	geneformer	4	5	0.9337500000000001	0.030168795965367937
GSE135779	B2	hvg_pseudobulk	4	5	0.93125	0.04614007206322937
GSE135779	B2	pca_pseudobulk	4	5	0.92125	0.040408074688111535
GSE135779	B3	geneformer	8	5	0.9881944444444445	0.014649321603978482
GSE135779	B3	hvg_pseudobulk	8	5	0.951388888888889	0.027450326911183837
GSE135779	B3	pca_pseudobulk	8	5	0.9506944444444445	0.02919558751330265
GSE135779	B4	geneformer	8	5	0.9340277777777779	0.03402069087198861
GSE135779	B4	hvg_pseudobulk	8	5	0.9180555555555555	0.022042458677922035
GSE135779	B4	pca_pseudobulk	8	5	0.9180555555555555	0.022178776975932343
GSE135779	B5	geneformer	8	5	0.773611111111111	0.04169559181188354
GSE135779	B5	hvg_pseudobulk	8	5	0.7416666666666667	0.09116153965202864
GSE135779	B5	pca_pseudobulk	8	5	0.7388888888888888	0.07428445962217155
GSE135779	B6	geneformer	8	5	0.8083333333333333	0.04875969355983878
GSE135779	B6	hvg_pseudobulk	8	5	0.9347222222222221	0.026375179187267957
GSE135779	B6	pca_pseudobulk	8	5	0.9354166666666666	0.035290488742421966
