component	source_explained_variance	source_explained_variance_ratio
1	583.0643946581702	0.14520760786506148
2	253.79479503285273	0.06320560029553801
3	157.39360797045478	0.03919764183172244
4	120.779955050434	0.030079299150491214
5	101.01932798769283	0.02515807018850587
6	78.16927224040806	0.019467443278262535
7	68.26291195152955	0.017000342056894324
8	64.66977326189978	0.016105499088212582
9	57.47424363091056	0.014313508950226761
10	53.5758007426273	0.013342632368853536
11	47.6191010796542	0.011859163104128436
12	45.68132784844792	0.011376575900954458
13	41.19649556717801	0.010259663646998351
14	38.27577760081565	0.009532281777980905
15	36.66493167256777	0.009131113251788904
16	36.15141487093241	0.009003225925711133
17	34.12822938180903	0.008499367470565464
18	32.86421866700114	0.008184575530096065
19	31.814609142858046	0.00792317852216771
20	30.381824989304498	0.007566354882393838
21	26.759884933715917	0.006664339159737678
22	26.121188348153257	0.006505276791685674
23	25.776116720091462	0.006419339413049595
24	24.797275494930066	0.006175566694139669
25	24.575694651720912	0.006120383725524363
26	23.85214011999834	0.005940188152490005
27	23.12249711923752	0.005758476294062981
28	22.349875449227437	0.005566060935631351
29	21.44317214062011	0.005340253598238722
30	21.056251825085496	0.005243894132684126
