variant	stratum	control_type	draw	repeat	seed	n_donors	n_cases	roc_auc
raw_proportions	dominant_wave_4	observed	0	1	20260801	89	46	0.8776541961577351
raw_proportions	dominant_wave_4	observed	0	2	20260802	89	46	0.8361981799797776
raw_proportions	dominant_wave_4	observed	0	3	20260803	89	46	0.8296258847320526
raw_proportions	dominant_wave_4	observed	0	4	20260804	89	46	0.8493427704752275
raw_proportions	dominant_wave_4	observed	0	5	20260805	89	46	0.8387259858442873
raw_proportions	dominant_wave_4	observed	0	6	20260806	89	46	0.8498483316481296
raw_proportions	dominant_wave_4	observed	0	7	20260807	89	46	0.8549039433771487
raw_proportions	dominant_wave_4	observed	0	8	20260808	89	46	0.8473205257836197
raw_proportions	dominant_wave_4	observed	0	9	20260809	89	46	0.8624873609706775
raw_proportions	dominant_wave_4	observed	0	10	20260810	89	46	0.858442871587462
raw_proportions	dominant_wave_4	observed	0	11	20260811	89	46	0.8614762386248735
raw_proportions	dominant_wave_4	observed	0	12	20260812	89	46	0.8468149646107179
raw_proportions	dominant_wave_4	observed	0	13	20260813	89	46	0.8665318503538928
raw_proportions	dominant_wave_4	observed	0	14	20260814	89	46	0.8634984833164812
raw_proportions	dominant_wave_4	observed	0	15	20260815	89	46	0.8776541961577351
raw_proportions	dominant_wave_4	observed	0	16	20260816	89	46	0.8372093023255814
raw_proportions	dominant_wave_4	observed	0	17	20260817	89	46	0.8367037411526795
raw_proportions	dominant_wave_4	observed	0	18	20260818	89	46	0.8185035389282104
raw_proportions	dominant_wave_4	observed	0	19	20260819	89	46	0.8806875631951466
raw_proportions	dominant_wave_4	observed	0	20	20260820	89	46	0.8690596562184024
raw_proportions	dominant_wave_4	size_label_matched	1	1	20260801	89	46	0.9403437815975734
raw_proportions	dominant_wave_4	size_label_matched	2	2	20260802	89	46	0.8953488372093024
raw_proportions	dominant_wave_4	size_label_matched	3	3	20260803	89	46	0.923154701718908
raw_proportions	dominant_wave_4	size_label_matched	4	4	20260804	89	46	0.929726996966633
raw_proportions	dominant_wave_4	size_label_matched	5	5	20260805	89	46	0.8857431749241659
raw_proportions	dominant_wave_4	size_label_matched	6	6	20260806	89	46	0.942366026289181
raw_proportions	dominant_wave_4	size_label_matched	7	7	20260807	89	46	0.9352881698685541
raw_proportions	dominant_wave_4	size_label_matched	8	8	20260808	89	46	0.9074823053589484
raw_proportions	dominant_wave_4	size_label_matched	9	9	20260809	89	46	0.8771486349848331
raw_proportions	dominant_wave_4	size_label_matched	10	10	20260810	89	46	0.929726996966633
raw_proportions	dominant_wave_4	size_label_matched	11	11	20260811	89	46	0.9251769464105157
raw_proportions	dominant_wave_4	size_label_matched	12	12	20260812	89	46	0.9170879676440848
raw_proportions	dominant_wave_4	size_label_matched	13	13	20260813	89	46	0.8624873609706775
raw_proportions	dominant_wave_4	size_label_matched	14	14	20260814	89	46	0.9140546006066734
raw_proportions	dominant_wave_4	size_label_matched	15	15	20260815	89	46	0.9464105156723963
raw_proportions	dominant_wave_4	size_label_matched	16	16	20260816	89	46	0.9302325581395349
raw_proportions	dominant_wave_4	size_label_matched	17	17	20260817	89	46	0.9474216380182002
raw_proportions	dominant_wave_4	size_label_matched	18	18	20260818	89	46	0.8953488372093024
raw_proportions	dominant_wave_4	size_label_matched	19	19	20260819	89	46	0.949443882709808
raw_proportions	dominant_wave_4	size_label_matched	20	20	20260820	89	46	0.8387259858442873
raw_proportions	pure_wave_4	observed	0	1	20260801	66	25	0.8624390243902439
raw_proportions	pure_wave_4	observed	0	2	20260802	66	25	0.8243902439024391
raw_proportions	pure_wave_4	observed	0	3	20260803	66	25	0.9239024390243903
raw_proportions	pure_wave_4	observed	0	4	20260804	66	25	0.8458536585365853
raw_proportions	pure_wave_4	observed	0	5	20260805	66	25	0.8546341463414634
raw_proportions	pure_wave_4	observed	0	6	20260806	66	25	0.8409756097560976
raw_proportions	pure_wave_4	observed	0	7	20260807	66	25	0.8985365853658537
raw_proportions	pure_wave_4	observed	0	8	20260808	66	25	0.8663414634146342
raw_proportions	pure_wave_4	observed	0	9	20260809	66	25	0.8770731707317073
raw_proportions	pure_wave_4	observed	0	10	20260810	66	25	0.8936585365853659
raw_proportions	pure_wave_4	observed	0	11	20260811	66	25	0.895609756097561
raw_proportions	pure_wave_4	observed	0	12	20260812	66	25	0.8614634146341463
raw_proportions	pure_wave_4	observed	0	13	20260813	66	25	0.8946341463414634
raw_proportions	pure_wave_4	observed	0	14	20260814	66	25	0.8907317073170732
raw_proportions	pure_wave_4	observed	0	15	20260815	66	25	0.8702439024390245
raw_proportions	pure_wave_4	observed	0	16	20260816	66	25	0.8897560975609756
raw_proportions	pure_wave_4	observed	0	17	20260817	66	25	0.8790243902439023
raw_proportions	pure_wave_4	observed	0	18	20260818	66	25	0.8760975609756098
raw_proportions	pure_wave_4	observed	0	19	20260819	66	25	0.8809756097560976
raw_proportions	pure_wave_4	observed	0	20	20260820	66	25	0.8975609756097561
raw_proportions	pure_wave_4	size_label_matched	1	1	20260801	66	25	0.9199999999999999
raw_proportions	pure_wave_4	size_label_matched	2	2	20260802	66	25	0.9151219512195121
