block	repeat	seed	roc_auc	encoded_features_mean	encoded_features_min	encoded_features_max	selected_c_median	effective_df_mean
batch	1	20260801	0.5055096418732782	6.0	6	6	0.0001	0.7298648267378259
batch	2	20260802	0.4738292011019284	6.0	6	6	0.0001	1.1381584756712204
batch	3	20260803	0.5426997245179064	6.0	6	6	0.0001	0.0017588156228284832
batch	4	20260804	0.5179063360881543	6.0	6	6	0.0001	1.067031971410681
batch	5	20260805	0.48071625344352614	6.0	6	6	0.0001	0.7367484236290738
batch	6	20260806	0.5137741046831956	6.0	6	6	0.0001	0.749381422948973
batch	7	20260807	0.5385674931129476	6.0	6	6	0.0001	0.0017588156210535284
batch	8	20260808	0.4724517906336088	6.0	6	6	0.0001	1.1578622354790344
batch	9	20260809	0.4779614325068871	6.0	6	6	0.0001	1.8043843393823338
batch	10	20260810	0.4944903581267217	6.0	6	6	0.0001	0.0017588118772624158
batch	11	20260811	0.5564738292011019	6.0	6	6	0.0001	0.7407506802749799
batch	12	20260812	0.5179063360881543	6.0	6	6	0.0001	2.266519323095829
batch	13	20260813	0.5068870523415978	6.0	6	6	0.0001	0.0017588178692709503
batch	14	20260814	0.5096418732782368	6.0	6	6	0.0001	0.001758811877499199
batch	15	20260815	0.45867768595041325	6.0	6	6	0.0001	0.004885812737114661
batch	16	20260816	0.46694214876033063	6.0	6	6	0.0001	1.4828064195358128
batch	17	20260817	0.4848484848484848	6.0	6	6	0.0001	1.4751343505195487
batch	18	20260818	0.5192837465564739	6.0	6	6	0.0001	0.001758816371431865
batch	19	20260819	0.5358126721763086	6.0	6	6	0.0001	1.4673205361726138
batch	20	20260820	0.4104683195592287	6.0	6	6	0.0001	0.001758813374354229
collection_year	1	20260801	0.7011019283746557	4.0	4	4	0.0001	1.233773751382172
collection_year	2	20260802	0.6900826446280992	4.0	4	4	1.0	1.7344861189800018
collection_year	3	20260803	0.709366391184573	4.0	4	4	1.0	2.124465756249161
collection_year	4	20260804	0.7396694214876034	4.0	4	4	1.0	2.6588572558714647
collection_year	5	20260805	0.721763085399449	4.0	4	4	1.0	2.4443663117767276
collection_year	6	20260806	0.7644628099173554	4.0	4	4	0.0001	1.3778782877732103
collection_year	7	20260807	0.7424242424242424	4.0	4	4	1.0	1.7579452047161879
collection_year	8	20260808	0.6666666666666667	4.0	4	4	0.0001	1.0752797736818576
collection_year	9	20260809	0.7176308539944904	4.0	4	4	1.0	1.5942938388213723
collection_year	10	20260810	0.7658402203856749	4.0	4	4	1.0	2.2905819897191817
collection_year	11	20260811	0.7341597796143251	4.0	4	4	1.0	1.9062876447903048
collection_year	12	20260812	0.7245179063360881	4.0	4	4	1.0	2.4472595692718726
collection_year	13	20260813	0.7341597796143251	4.0	4	4	1.0	2.4419512327725252
collection_year	14	20260814	0.7369146005509641	4.0	4	4	1.0	1.8086765828828675
collection_year	15	20260815	0.6680440771349861	3.8	3	4	1.0	2.385795155513055
collection_year	16	20260816	0.7396694214876033	4.0	4	4	1.0	1.605554915681284
collection_year	17	20260817	0.6735537190082644	4.0	4	4	1.0	1.5866040466195699
collection_year	18	20260818	0.6831955922865015	4.0	4	4	0.0001	1.2238820155540093
collection_year	19	20260819	0.7506887052341598	4.0	4	4	1.0	1.6032689865971517
collection_year	20	20260820	0.7506887052341598	4.0	4	4	1.0	1.7934424950056744
qc	1	20260801	0.768595041322314	6.0	6	6	1.0	2.5140203433534998
qc	2	20260802	0.5895316804407714	6.0	6	6	1.0	4.473954089067723
qc	3	20260803	0.7079889807162534	6.0	6	6	0.0001	1.7583335996118172
qc	4	20260804	0.7575757575757576	6.0	6	6	1.0	3.5245579331287202
qc	5	20260805	0.7465564738292012	6.0	6	6	0.1	1.6872539472896055
qc	6	20260806	0.7520661157024794	6.0	6	6	1.0	4.1991029953463865
qc	7	20260807	0.7548209366391185	6.0	6	6	0.0001	0.8631714711224225
qc	8	20260808	0.6446280991735538	6.0	6	6	0.0001	1.8251606366622621
qc	9	20260809	0.7548209366391184	6.0	6	6	0.1	2.551063427944971
qc	10	20260810	0.6584022038567494	6.0	6	6	0.1	3.086078582923543
qc	11	20260811	0.7190082644628099	6.0	6	6	0.1	2.621938986574424
qc	12	20260812	0.6776859504132231	6.0	6	6	0.1	2.780887431803637
qc	13	20260813	0.6391184573002755	6.0	6	6	0.1	2.5666315501609205
qc	14	20260814	0.6666666666666666	6.0	6	6	10.0	4.960059432612809
qc	15	20260815	0.7355371900826447	6.0	6	6	0.0001	1.7691349413619755
qc	16	20260816	0.556473829201102	6.0	6	6	0.1	3.130903960918675
qc	17	20260817	0.7658402203856749	6.0	6	6	1.0	3.9105961462666103
qc	18	20260818	0.7245179063360883	6.0	6	6	1.0	3.296490854517638
qc	19	20260819	0.7575757575757576	6.0	6	6	10.0	3.891181177097829
qc	20	20260820	0.7658402203856749	6.0	6	6	0.1	2.9991581536945002
demographic	1	20260801	0.7823691460055097	9.0	9	9	1.0	3.792117660684293
demographic	2	20260802	0.6515151515151515	9.0	9	9	0.1	2.4097734675424105
demographic	3	20260803	0.7079889807162534	9.0	9	9	1.0	3.413695395585176
demographic	4	20260804	0.7107438016528925	9.0	9	9	1.0	4.859916042322975
demographic	5	20260805	0.6804407713498623	9.0	9	9	1.0	3.3036994618328728
demographic	6	20260806	0.7878787878787878	9.0	9	9	1.0	4.432568674948455
demographic	7	20260807	0.6818181818181818	9.0	9	9	1.0	3.668535117750225
demographic	8	20260808	0.6873278236914601	9.0	9	9	10.0	4.251100621806057
demographic	9	20260809	0.7052341597796143	9.0	9	9	1.0	3.010234219896825
demographic	10	20260810	0.7520661157024794	9.0	9	9	1.0	3.8499719592860218
demographic	11	20260811	0.6157024793388429	9.0	9	9	1.0	3.6705695876744016
demographic	12	20260812	0.6928374655647382	9.0	9	9	10.0	4.739008291084018
demographic	13	20260813	0.7038567493112948	9.0	9	9	10.0	3.6241803144910585
demographic	14	20260814	0.6322314049586777	9.0	9	9	0.0001	1.9423687166589105
demographic	15	20260815	0.7341597796143251	9.0	9	9	1.0	4.250130013801288
demographic	16	20260816	0.7575757575757576	9.0	9	9	10.0	4.571417146093715
demographic	17	20260817	0.8526170798898072	9.0	9	9	1.0	4.28757069300307
demographic	18	20260818	0.6418732782369145	9.0	9	9	0.0001	2.2776282465292916
