block	stratum	representation	n_donors	n_cases	auc_mean	auc_sd	auc_p025	auc_p975	n_estimates
A_covariate_only	full_cohort	wave_fractions	261	162	0.9219930789375234	0.003823782610937477	0.9158662239680758	0.9281807270233196	20
A_covariate_only	full_cohort	wave_dominant_onehot	261	162	0.7672699214365882	0.005944425905026713	0.7554090285571767	0.7767520887891258	20
A_covariate_only	full_cohort	qc_core	261	162	0.7811884274847237	0.008865931355382415	0.7611796982167353	0.7898927547075695	20
A_covariate_only	full_cohort	demographic	261	162	0.6459580371617408	0.015108496933577393	0.6195153697468513	0.6685964584112732	20
A_covariate_only	full_cohort	all_covariates	261	162	0.9508012220975184	0.004568079920458576	0.9426611796982167	0.9593808454919566	20
B_full_cohort	full_cohort	geneformer	261	162	0.9819896495822421	0.003186742530654777	0.9777372490335453	0.9886831275720165	20
B_full_cohort	full_cohort	hvg_pseudobulk	261	162	0.9770139668287815	0.003522870737286757	0.9708754208754209	0.9831743359521138	20
B_full_cohort	full_cohort	pca_pseudobulk	261	162	0.9754084050380347	0.003353373826376224	0.970214490584861	0.9798431849357775	20
C_within_wave	wave4	geneformer	89	46	0.9288928210313447	0.023852778504234215	0.8783114256825076	0.9643705763397371	20
C_within_wave	wave4	hvg_pseudobulk	89	46	0.9337714863498483	0.015817683340032637	0.902098078867543	0.9528690596562184	20
C_within_wave	wave4	pca_pseudobulk	89	46	0.9101365015166836	0.012630811281756504	0.8859833164812942	0.9270096056622851	20
C_within_wave	wave4	qc_core_covariates	89	46	0.7809656218402428	0.01647685447033143	0.7413675429726997	0.7986476238624873	20
C_within_wave	wave2	geneformer	115	97	0.9963631156930125	0.0019105330818007867	0.9916809851088202	0.9985824742268041	20
C_within_wave	wave2	hvg_pseudobulk	115	97	0.9990836197021762	0.0003799112016443744	0.9982817869415808	0.9994272623138603	20
C_within_wave	wave2	pca_pseudobulk	115	97	0.9988545246277205	0.0008495072722904509	0.9967783505154639	0.9994272623138603	20
C_within_wave	wave2	qc_core_covariates	115	97	0.9599656357388315	0.017865285010258688	0.9303694158075602	0.9852806414662084	20
C_size_matched_random	random_n89	geneformer	89	46	0.9424924165824065	0.01938869941772688	0.9087335692618806	0.9738624873609706	20
C_size_matched_random	random_n89	hvg_pseudobulk	89	46	0.9616531850353894	0.01673802643966937	0.9239004044489384	0.9826718907987867	20
C_size_matched_random	random_n89	pca_pseudobulk	89	46	0.9594539939332659	0.010143527768642626	0.9417593528816987	0.9776921132457027	20
D_leave_one_wave_out	train_wave23_test_wave4	geneformer	89	46	0.8417593528816987		0.7446916076845298	0.922168857431749	1
D_leave_one_wave_out	train_wave23_test_wave4	hvg_pseudobulk	89	46	0.8109201213346815		0.7194009100101112	0.8898003033367037	1
D_leave_one_wave_out	train_wave23_test_wave4	pca_pseudobulk	89	46	0.8063700707785642		0.71383973710819	0.8862487360970678	1
D_leave_one_wave_out	train_wave4_test_wave23	geneformer	140	116	0.9184626436781609		0.8699622844827587	0.9579741379310345	1
D_leave_one_wave_out	train_wave4_test_wave23	hvg_pseudobulk	140	116	0.9260057471264368		0.8782147988505746	0.9630118534482758	1
D_leave_one_wave_out	train_wave4_test_wave23	pca_pseudobulk	140	116	0.8214798850574713		0.7435255028735632	0.8886584051724138	1
