repeat	seed	representation	adjustment	n_donors	n_cases	roc_auc
1	20260801	geneformer	unadjusted	44	33	0.8732782369146005
1	20260801	geneformer	ridge_full_design	44	33	0.6198347107438016
1	20260801	geneformer	random_forest_full_design	44	33	0.7493112947658402
1	20260801	geneformer	batch_location_adjustment	44	33	0.8953168044077134
1	20260801	geneformer	overlap_weighted_full_design	44	33	0.8264462809917354
1	20260801	hvg_pseudobulk	unadjusted	44	33	0.953168044077135
1	20260801	hvg_pseudobulk	ridge_full_design	44	33	0.581267217630854
1	20260801	hvg_pseudobulk	random_forest_full_design	44	33	0.8980716253443526
1	20260801	hvg_pseudobulk	batch_location_adjustment	44	33	0.928374655647383
1	20260801	hvg_pseudobulk	overlap_weighted_full_design	44	33	0.9146005509641874
1	20260801	pca_pseudobulk	unadjusted	44	33	0.9752066115702479
1	20260801	pca_pseudobulk	ridge_full_design	44	33	0.46005509641873277
1	20260801	pca_pseudobulk	random_forest_full_design	44	33	0.8953168044077134
1	20260801	pca_pseudobulk	batch_location_adjustment	44	33	0.928374655647383
1	20260801	pca_pseudobulk	overlap_weighted_full_design	44	33	0.9256198347107437
2	20260802	geneformer	unadjusted	44	33	0.8925619834710744
2	20260802	geneformer	ridge_full_design	44	33	0.5757575757575757
2	20260802	geneformer	random_forest_full_design	44	33	0.7988980716253443
2	20260802	geneformer	batch_location_adjustment	44	33	0.8953168044077134
2	20260802	geneformer	overlap_weighted_full_design	44	33	0.8705234159779615
2	20260802	hvg_pseudobulk	unadjusted	44	33	0.9393939393939394
2	20260802	hvg_pseudobulk	ridge_full_design	44	33	0.6019283746556474
2	20260802	hvg_pseudobulk	random_forest_full_design	44	33	0.8209366391184573
2	20260802	hvg_pseudobulk	batch_location_adjustment	44	33	0.9118457300275482
2	20260802	hvg_pseudobulk	overlap_weighted_full_design	44	33	0.9366391184573003
2	20260802	pca_pseudobulk	unadjusted	44	33	0.9586776859504132
2	20260802	pca_pseudobulk	ridge_full_design	44	33	0.6033057851239669
2	20260802	pca_pseudobulk	random_forest_full_design	44	33	0.8126721763085399
2	20260802	pca_pseudobulk	batch_location_adjustment	44	33	0.9118457300275482
2	20260802	pca_pseudobulk	overlap_weighted_full_design	44	33	0.9504132231404958
3	20260803	geneformer	unadjusted	44	33	0.8512396694214875
3	20260803	geneformer	ridge_full_design	44	33	0.5096418732782368
3	20260803	geneformer	random_forest_full_design	44	33	0.7575757575757576
3	20260803	geneformer	batch_location_adjustment	44	33	0.859504132231405
3	20260803	geneformer	overlap_weighted_full_design	44	33	0.8264462809917356
3	20260803	hvg_pseudobulk	unadjusted	44	33	0.9696969696969697
3	20260803	hvg_pseudobulk	ridge_full_design	44	33	0.49035812672176315
3	20260803	hvg_pseudobulk	random_forest_full_design	44	33	0.8181818181818182
3	20260803	hvg_pseudobulk	batch_location_adjustment	44	33	0.8787878787878788
3	20260803	hvg_pseudobulk	overlap_weighted_full_design	44	33	0.953168044077135
3	20260803	pca_pseudobulk	unadjusted	44	33	0.9559228650137741
3	20260803	pca_pseudobulk	ridge_full_design	44	33	0.4380165289256198
3	20260803	pca_pseudobulk	random_forest_full_design	44	33	0.81267217630854
3	20260803	pca_pseudobulk	batch_location_adjustment	44	33	0.8787878787878788
3	20260803	pca_pseudobulk	overlap_weighted_full_design	44	33	0.9421487603305785
4	20260804	geneformer	unadjusted	44	33	0.8760330578512397
4	20260804	geneformer	ridge_full_design	44	33	0.6005509641873279
4	20260804	geneformer	random_forest_full_design	44	33	0.7961432506887052
4	20260804	geneformer	batch_location_adjustment	44	33	0.9366391184573003
4	20260804	geneformer	overlap_weighted_full_design	44	33	0.8760330578512397
4	20260804	hvg_pseudobulk	unadjusted	44	33	0.9724517906336088
4	20260804	hvg_pseudobulk	ridge_full_design	44	33	0.5633608815426997
4	20260804	hvg_pseudobulk	random_forest_full_design	44	33	0.8705234159779613
4	20260804	hvg_pseudobulk	batch_location_adjustment	44	33	0.9586776859504132
4	20260804	hvg_pseudobulk	overlap_weighted_full_design	44	33	0.9614325068870523
4	20260804	pca_pseudobulk	unadjusted	44	33	0.9944903581267217
4	20260804	pca_pseudobulk	ridge_full_design	44	33	0.6033057851239668
4	20260804	pca_pseudobulk	random_forest_full_design	44	33	0.8732782369146005
4	20260804	pca_pseudobulk	batch_location_adjustment	44	33	0.9586776859504132
4	20260804	pca_pseudobulk	overlap_weighted_full_design	44	33	0.9807162534435261
5	20260805	geneformer	unadjusted	44	33	0.8567493112947658
5	20260805	geneformer	ridge_full_design	44	33	0.5289256198347108
5	20260805	geneformer	random_forest_full_design	44	33	0.6914600550964187
5	20260805	geneformer	batch_location_adjustment	44	33	0.862258953168044
5	20260805	geneformer	overlap_weighted_full_design	44	33	0.8429752066115703
5	20260805	hvg_pseudobulk	unadjusted	44	33	0.9338842975206612
5	20260805	hvg_pseudobulk	ridge_full_design	44	33	0.45179063360881544
5	20260805	hvg_pseudobulk	random_forest_full_design	44	33	0.7493112947658402
5	20260805	hvg_pseudobulk	batch_location_adjustment	44	33	0.9063360881542699
5	20260805	hvg_pseudobulk	overlap_weighted_full_design	44	33	0.931129476584022
5	20260805	pca_pseudobulk	unadjusted	44	33	0.9614325068870524
5	20260805	pca_pseudobulk	ridge_full_design	44	33	0.45730027548209373
5	20260805	pca_pseudobulk	random_forest_full_design	44	33	0.721763085399449
5	20260805	pca_pseudobulk	batch_location_adjustment	44	33	0.9063360881542699
5	20260805	pca_pseudobulk	overlap_weighted_full_design	44	33	0.9476584022038568
6	20260806	geneformer	unadjusted	44	33	0.8347107438016529
6	20260806	geneformer	ridge_full_design	44	33	0.4421487603305785
6	20260806	geneformer	random_forest_full_design	44	33	0.7823691460055096
6	20260806	geneformer	batch_location_adjustment	44	33	0.8567493112947658
6	20260806	geneformer	overlap_weighted_full_design	44	33	0.8264462809917356
6	20260806	hvg_pseudobulk	unadjusted	44	33	0.9476584022038568
