cohort	method	adjustment	n_donors	n_cases	n_repeats	auc_mean	auc_sd	auc_p025	auc_p975	pr_auc_mean	brier_mean	ece_10bin_mean
GSE135779	covariates_all	covariates_only	44	33	20	0.9520661157024793	0.02877367106163189	0.8929063360881543	0.9920110192837465	0.9839441438893113	0.08611215169699749	0.1181198758226208
GSE135779	covariates_batch	covariates_only	44	33	20	0.4992424242424242	0.034429389088915956	0.4333677685950413	0.549931129476584	0.789154419404624	0.2519354919120004	0.2603971146122974
GSE135779	covariates_collection_year	covariates_only	44	33	20	0.7207300275482094	0.031089851615521615	0.6673209366391184	0.7651859504132231	0.8884958395145206	0.22405415376606266	0.2455583165280167
GSE135779	covariates_demographic	covariates_only	44	33	20	0.7147382920110192	0.058994516509234554	0.6235537190082644	0.8218663911845729	0.8662392653190887	0.20534362244720042	0.22592719397705524
GSE135779	covariates_qc	covariates_only	44	33	20	0.7071625344352617	0.06285835605411534	0.5721763085399448	0.7672865013774104	0.8784625366297844	0.23859860936926172	0.2538958337456737
GSE135779	geneformer	residual_all	44	33	20	0.5160468319559228	0.06775414601526478	0.4168732782369146	0.634297520661157	0.7844869984860409	0.3116881550626317	0.31713190448677203
GSE135779	hvg_pseudobulk	residual_all	44	33	20	0.5261707988980716	0.07546240624458056	0.39486914600550965	0.6605716253443525	0.7875260317427037	0.3432897531383922	0.3475772978322423
GSE135779	pca_pseudobulk	residual_all	44	33	20	0.5146694214876033	0.05622356376885874	0.4199724517906336	0.6048898071625344	0.7894816462557638	0.34701050197777483	0.35313937512366034
GSE135779	geneformer	residual_batch	44	33	20	0.872038567493113	0.027424326352611432	0.8276170798898072	0.9306473829201102	0.959385698926501	0.2066050316450562	0.27130444187228947
GSE135779	hvg_pseudobulk	residual_batch	44	33	20	0.931542699724518	0.0281118928872328	0.8758953168044077	0.9641873278236914	0.9778209286212747	0.18691579229489894	0.28053459668788994
GSE135779	pca_pseudobulk	residual_batch	44	33	20	0.9362258953168044	0.027566689466301014	0.8851928374655648	0.9727272727272727	0.9792589739048235	0.18484175082860158	0.2798610576086733
GSE135779	geneformer	residual_collection_year	44	33	20	0.8647382920110193	0.02320220718404041	0.8222451790633608	0.8955922865013773	0.9563164549321798	0.21537717314404947	0.2777168885241534
GSE135779	hvg_pseudobulk	residual_collection_year	44	33	20	0.8986225895316805	0.02076192141202952	0.8621212121212121	0.9383608815426997	0.9684592302920464	0.1990973552632626	0.2776421017007947
GSE135779	pca_pseudobulk	residual_collection_year	44	33	20	0.9056473829201103	0.017465948936222532	0.8740358126721763	0.9347107438016529	0.9706634083973444	0.19543119330222566	0.27403109409206106
GSE135779	geneformer	unadjusted	44	33	20	0.8698347107438016	0.023880458390125224	0.821969696969697	0.9037190082644628	0.9578496976125047	0.20366334976079536	0.26910301989402424
GSE135779	hvg_pseudobulk	unadjusted	44	33	20	0.9331955922865014	0.02227068928628619	0.8891184573002754	0.9711432506887051	0.9784815911753656	0.17058180953495597	0.25775859059730843
GSE135779	pca_pseudobulk	unadjusted	44	33	20	0.9449035812672177	0.02868469157973622	0.890564738292011	0.990564738292011	0.9831628583183114	0.16875103550773357	0.2671955531283484
GSE174188_CD4	covariates_all	covariates_only	261	162	20	0.9525470756952238	0.004424719351525234	0.9447608804090285	0.9608788502307021	0.9680556663651079	0.08508055433221924	0.05164771323306967
GSE174188_CD4	covariates_batch	covariates_only	261	162	20	0.9219930789375234	0.003923118181901497	0.9158662239680758	0.9281807270233197	0.9481843862023828	0.10235258388734911	0.07177630397210574
GSE174188_CD4	covariates_demographic	covariates_only	261	162	20	0.659768986157875	0.006784801788198885	0.6432589786756454	0.6691700960219479	0.7300770847282828	0.2369174431796755	0.1348249916281628
GSE174188_CD4	covariates_qc	covariates_only	261	162	20	0.7811884274847237	0.00909625364169534	0.7611796982167353	0.7898927547075695	0.8706476871894097	0.18993202748178994	0.1057099782031415
GSE174188_CD4	geneformer	residual_batch	261	162	20	0.7136706571891758	0.009260074671036605	0.6979205636613044	0.7282407407407407	0.8208494359069407	0.22051593449984183	0.12371467198691924
GSE174188_CD4	hvg_pseudobulk	residual_batch	261	162	20	0.7469229330340441	0.0034305946371790026	0.7418895747599451	0.7526094276094276	0.8503859953499979	0.22011751160855958	0.12902476376330196
GSE174188_CD4	pca_pseudobulk	residual_batch	261	162	20	0.7348578376356154	0.003654026851578588	0.7293303404414515	0.7404944506796358	0.8436392141779201	0.22217691706472048	0.12557544227708248
GSE174188_CD4	geneformer	unadjusted	261	162	20	0.9819896495822421	0.0032695288501208525	0.9777372490335453	0.9886831275720165	0.9888384725605606	0.05678017180541346	0.05169273765993391
GSE174188_CD4	hvg_pseudobulk	unadjusted	261	162	20	0.9770139668287816	0.00361438911365049	0.9708754208754208	0.9831743359521138	0.98660783769562	0.06713115865009175	0.08108102108995327
GSE174188_CD4	pca_pseudobulk	unadjusted	261	162	20	0.9754084050380346	0.0034404889523109933	0.970214490584861	0.9798431849357775	0.9848094164778669	0.08379658519390856	0.11690330204154604
