cohort	block	n_donor	n_case	n_design_feature	I_D	design_auc_linear	design_auc_rf	disease_auc	observed_frozen_auc	p_standard	p_design_preserving	n_strata
COMBAT_COVID	qc	110	100	4	0.8094	0.8894	0.8486	0.997	0.998	0.0099	0.0099	2
COMBAT_COVID	demographic	110	100	2	0.9987	0.3263	0.332	0.997	0.998	0.0099	0.0099	2
COMBAT_COVID	batch	110	100	1	0.9981	0.5128	0.5	0.997	0.998	0.0099	0.0099	2
COMBAT_COVID	all	110	100	7	0.8074	0.8456	0.8468	0.997	0.998	0.0099	0.0099	2
COMBAT_INFLUENZA	qc	21	11	4	0.0872	0.9709	1.0	0.9982	0.5455	0.36634		2
COMBAT_INFLUENZA	demographic	21	11	2	0.9216	0.42	0.3509	0.9982	0.5455	0.36634		2
COMBAT_INFLUENZA	batch	21	11	1	0.0	1.0	1.0	0.9982	0.5455	0.36634		2
COMBAT_INFLUENZA	all	21	11	7	0.0	1.0	1.0	0.9982	0.5455	0.36634		2
COMBAT_CROSS	qc	111	100	4	0.5372	0.9138	0.9082	0.8778	0.7255	0.0297	0.74257	2
COMBAT_CROSS	demographic	111	100	2	0.9863	0.4834	0.5009	0.8778	0.7255	0.0297	0.74257	2
COMBAT_CROSS	batch	111	100	1	0.1708	0.9835	0.9835	0.8778	0.7255	0.0297	0.74257	2
COMBAT_CROSS	all	111	100	7	0.1432	0.9878	0.9958	0.8778	0.7255	0.0297	0.74257	2
