cohort	block	n_donor	n_case	n_design_feature	I_D	I_D_cv	I_D_null_mean	I_D_vs_null	p_I_D	design_auc_linear	design_auc_rf	disease_auc	observed_frozen_auc	p_standard	p_design_preserving	n_strata
CMV_HIHA	qc	108	45	4	0.9577	1.0	0.9586	-0.0009	0.393	0.5096	0.4485	0.896	0.854	0.001	0.001	46
CMV_HIHA	demographic	108	45	5	0.8926	1.0	0.9499	-0.0573	0.0348	0.616	0.6038	0.896	0.854	0.001	0.001	46
CMV_HIHA	batch	108	45	80	0.6235	1.0	0.5822	0.0413	0.7811	0.459	0.4893	0.896	0.854	0.001	0.001	46
CMV_HIHA	all	108	45	89	0.4683	1.0	0.4958	-0.0276	0.3532	0.4795	0.4945	0.896	0.854	0.001	0.001	46
COMBAT_COVID	qc	110	100	4	0.8094	0.8538	0.963	-0.1536	0.005	0.8894	0.8486	0.997	0.998	0.001	0.001	2
COMBAT_COVID	demographic	110	100	2	0.9987	1.0	0.9802	0.0185	0.8955	0.3263	0.332	0.997	0.998	0.001	0.001	2
COMBAT_COVID	batch	110	100	1	0.9981	1.0	0.9912	0.007	1.0	0.5128	0.5	0.997	0.998	0.001	0.001	2
COMBAT_COVID	all	110	100	7	0.8074	0.9065	0.9339	-0.1265	0.01	0.8456	0.8468	0.997	0.998	0.001	0.001	2
COMBAT_CROSS	qc	111	100	4	0.5372	0.6128	0.9647	-0.4274	0.005	0.9138	0.9082	0.8778	0.7255	0.04296	0.75824	2
COMBAT_CROSS	demographic	111	100	2	0.9863	1.0	0.9815	0.0048	0.4428	0.4834	0.5009	0.8778	0.7255	0.04296	0.75824	2
COMBAT_CROSS	batch	111	100	1	0.1708	0.2112	0.9904	-0.8196	0.005	0.9835	0.9835	0.8778	0.7255	0.04296	0.75824	2
COMBAT_CROSS	all	111	100	7	0.1432	0.2026	0.9378	-0.7946	0.005	0.9878	0.9958	0.8778	0.7255	0.04296	0.75824	2
COMBAT_INFLUENZA	qc	21	11	4	0.0872	0.23	0.8068	-0.7196	0.005	0.9709	1.0	0.9982	0.5455	0.41159		2
COMBAT_INFLUENZA	demographic	21	11	2	0.9216	1.0	0.901	0.0206	0.4229	0.42	0.3509	0.9982	0.5455	0.41159		2
COMBAT_INFLUENZA	batch	21	11	1	0.0	0.0	0.9563	-0.9563	0.005	1.0	1.0	0.9982	0.5455	0.41159		2
COMBAT_INFLUENZA	all	21	11	7	0.0	0.0	0.6604	-0.6604	0.005	1.0	1.0	0.9982	0.5455	0.41159		2
COVID_REN	qc	182	157	4	0.9762	1.0	0.9781	-0.0019	0.3532	0.6276	0.7612	0.9491	0.9664	0.001	0.001	2
COVID_REN	demographic	182	157	3	0.9478	0.9802	0.9816	-0.0338	0.0647	0.6746	0.6518	0.9491	0.9664	0.001	0.001	2
COVID_REN	batch	182	157	1	0.9792	1.0	0.9939	-0.0147	0.0597	0.5529	0.5531	0.9491	0.9664	0.001	0.001	2
COVID_REN	all	182	157	8	0.877	0.9341	0.953	-0.0761	0.0149	0.758	0.8072	0.9491	0.9664	0.001	0.001	2
COVID_REN_ASSAY_10x_5_v2	qc	161	136	4	0.9577	0.9906	0.9735	-0.0158	0.1791	0.6495	0.7152	0.9464	0.9315	0.001	0.001	3
COVID_REN_ASSAY_10x_5_v2	demographic	161	136	3	0.9362	0.9608	0.979	-0.0428	0.0299	0.7042	0.6591	0.9464	0.9315	0.001	0.001	3
COVID_REN_ASSAY_10x_5_v2	all	161	136	7	0.8773	0.9332	0.9527	-0.0754	0.0149	0.7426	0.788	0.9464	0.9315	0.001	0.001	3
COVID_STEPHENSON	qc	115	86	4	0.6043	0.6718	0.9653	-0.361	0.005	0.8079	0.8322	0.9682	0.9391	0.001	0.001	3
COVID_STEPHENSON	demographic	115	86	2	0.8536	0.8985	0.9824	-0.1289	0.005	0.6725	0.6663	0.9682	0.9391	0.001	0.001	3
COVID_STEPHENSON	batch	115	86	2	0.9564	1.0	0.9832	-0.0268	0.0697	0.5582	0.549	0.9682	0.9391	0.001	0.001	3
COVID_STEPHENSON	all	115	86	8	0.5755	0.6638	0.9307	-0.3552	0.005	0.8014	0.8397	0.9682	0.9391	0.001	0.001	3
SLE_GSE174188_ALLCELL	qc	261	162	4	0.7034	0.7257	0.9849	-0.2815	0.005	0.8286	0.8713	0.9892	0.9872	0.001	0.001	3
SLE_GSE174188_ALLCELL	demographic	261	162	5	0.8485	0.8739	0.9805	-0.1321	0.005	0.6918	0.7248	0.9892	0.9872	0.001	0.001	3
SLE_GSE174188_ALLCELL	all	261	162	9	0.6048	0.6598	0.9652	-0.3604	0.005	0.851	0.9039	0.9892	0.9872	0.001	0.001	3
SLE_GSE174188_CD4	qc	261	162	4	0.7702	0.7974	0.9856	-0.2154	0.005	0.7838	0.828	0.9747	0.9627	0.001	0.001	4
SLE_GSE174188_CD4	demographic	261	162	5	0.8485	0.874	0.9805	-0.132	0.005	0.6918	0.7247	0.9747	0.9627	0.001	0.001	4
SLE_GSE174188_CD4	batch	261	162	3	0.683	0.7155	0.9884	-0.3054	0.005	0.7682	0.7664	0.9747	0.9627	0.001	0.001	4
SLE_GSE174188_CD4	all	261	162	12	0.4872	0.5556	0.9538	-0.4666	0.005	0.9042	0.9118	0.9747	0.9627	0.001	0.001	4
