representation	adjustment	mean	sd	p025	p975	n
geneformer	batch_location_adjustment	0.8640495867768594	0.027172661300884256	0.8290633608815426	0.9170110192837465	20
geneformer	overlap_weighted_full_design	0.8585399449035813	0.02808346184874649	0.8148760330578513	0.9073002754820936	20
geneformer	random_forest_full_design	0.7479338842975206	0.0442715373659695	0.6769972451790633	0.8130853994490358	20
geneformer	ridge_full_design	0.5160468319559228	0.06775414601526478	0.4168732782369146	0.634297520661157	20
geneformer	unadjusted	0.8698347107438016	0.02388045839012523	0.821969696969697	0.9037190082644628	20
hvg_pseudobulk	batch_location_adjustment	0.9114325068870525	0.026772834669001273	0.8617079889807163	0.9573691460055096	20
hvg_pseudobulk	overlap_weighted_full_design	0.9272727272727274	0.024500061113691865	0.8750688705234161	0.9588154269972451	20
hvg_pseudobulk	random_forest_full_design	0.78732782369146	0.05084040314575096	0.6993112947658401	0.8849862258953167	20
hvg_pseudobulk	ridge_full_design	0.521763085399449	0.06300623811212917	0.4138429752066116	0.6286845730027548	20
hvg_pseudobulk	unadjusted	0.9331955922865014	0.022270689286286182	0.8891184573002755	0.9711432506887052	20
pca_pseudobulk	batch_location_adjustment	0.9114325068870525	0.026772834669001273	0.8617079889807163	0.9573691460055096	20
pca_pseudobulk	overlap_weighted_full_design	0.9365013774104683	0.027627477661692143	0.8817493112947659	0.9767906336088154	20
pca_pseudobulk	random_forest_full_design	0.7947658402203857	0.05300887964064416	0.7203168044077135	0.8861570247933884	20
pca_pseudobulk	ridge_full_design	0.5201101928374656	0.07644892604431479	0.400034435261708	0.634194214876033	20
pca_pseudobulk	unadjusted	0.9449035812672177	0.02868469157973617	0.890564738292011	0.990564738292011	20
