feature_id	source_population_variance_log1p_cpm	source_mean_log1p_cpm	source_scale_log1p_cpm
IFI27	3.064301013946533	3.533138767569915	1.7505145015735126
RPS4Y1	3.013887643814087	1.1179472618518662	1.73605522323381
ZNF90	2.845731735229492	3.3521641313572954	1.6869296719616875
DONSON	2.829357147216797	1.882650774785842	1.682069338384638
HBB	2.588675022125244	3.1228287948502436	1.6089359820948685
NACA2	1.9703701734542847	2.2131416415688636	1.4036987446631946
HBA2	1.9454442262649536	2.6760719987738635	1.394791812624955
IFI44L	1.662767767906189	3.881763385630202	1.2894835496351966
NBEAL1	1.345129370689392	5.013675392815893	1.159797109403261
SCGB3A1	1.2512702941894531	0.8580700688606477	1.1186019387220694
ACVR2B	1.1749024391174316	1.296448091494626	1.083929165188792
UTS2	1.1552332639694214	1.724873562996415	1.0748178066353007
IFIT3	1.1545438766479492	2.1575343270868177	1.074497059370204
KRT1	1.1533772945404053	0.9943255212914441	1.0739540638245304
HBA1	1.0925188064575195	2.1765430056386523	1.0452362629413918
FMN1	1.057154655456543	1.5151316825571646	1.0281802506840927
PRDM6	1.0229558944702148	0.5594906482089068	1.0114128258918462
FAM184B	1.0206172466278076	1.5358574353872132	1.0102560088384798
EIF1AY	1.0063549280166626	0.3872077405110173	1.0031724094707062
RPS26	0.9576972126960754	7.190907978920188	0.9786200517573764
DDX3Y	0.9531052112579346	0.42544244563785094	0.9762710600110337
USP18	0.9435180425643921	2.348268842331751	0.9713485607989354
SPATS2L	0.9225608706474304	2.1987852897223843	0.9605003136454092
SLC2A14	0.8789872527122498	0.6522659583452561	0.9375432002471562
IFIT1	0.876620888710022	1.6373490370895671	0.9362803615119568
OAS1	0.851073682308197	2.6742277476522656	0.9225365575599972
CISH	0.845437228679657	2.367292297754251	0.9194766002038879
C20orf204	0.8289464712142944	1.1497759202430988	0.9104649701153497
RSAD2	0.8233590126037598	1.6629221336594944	0.9073913139306186
IL1B	0.8106490969657898	1.649650285527167	0.9003605465989694
SOX4	0.8094756603240967	2.958064887601297	0.8997086369272553
ATP5MGL	0.7902772426605225	1.6713122504538502	0.8889753990196274
GABRE	0.7801565527915955	0.4890904204199141	0.8832647175767661
EPSTI1	0.7357666492462158	3.811521411398818	0.8577684091605088
EEF1G	0.7345961928367615	3.7319937410025763	0.8570858597990992
LERFS	0.7277427911758423	0.7347697853699497	0.8530784304372644
SULF2	0.7198790907859802	2.6879251652978846	0.848456902885289
TIPIN	0.6883825063705444	2.5031600439228776	0.8296882017591314
IFITM1	0.6871808171272278	5.418443602163673	0.8289636866584734
CMPK2	0.6818310618400574	1.704441284425414	0.8257306232078803
UTY	0.6752254962921143	0.28911817290773795	0.8217210396979454
CPA5	0.6698630452156067	1.45487230570837	0.818451626905118
ARHGEF10	0.6628327369689941	1.004139960782738	0.8141454171455753
ISG15	0.6489488482475281	5.155901825747727	0.8055735965859113
LINC01954	0.6486327052116394	0.44819956018778556	0.8053773696910014
MX1	0.6466507315635681	3.494694917138052	0.804145969565679
RGS1	0.6235311627388	4.224999641549998	0.7896399070140434
DDX39B	0.6191913485527039	3.7764226504212597	0.7868871236733422
RPS17	0.6184314489364624	2.698194287745889	0.7864041258034037
SH3D19	0.6076688170433044	1.6375795437230005	0.7795311478593846
GABARAP	0.5976272821426392	3.554455353839187	0.7730635795602863
PABPC3	0.5952214598655701	0.9010921326176874	0.7715059712904297
PNRC2	0.5928608179092407	2.1102871565983214	0.7699745467154158
IFI44	0.5785036087036133	3.27063544682616	0.7605942620972086
TTC39C-AS1	0.5775854587554932	2.4699307253077567	0.7599904334911947
LAIR2	0.5702028870582581	2.2320481046634617	0.7551177893986141
NME2	0.5697924494743347	2.0983020989830923	0.7548459778892312
IGFL2	0.5565395355224609	0.5611065408336249	0.7460157761756566
EIF2S3B	0.5552511215209961	0.8927550783445095	0.7451517485933703
CH25H	0.5536758899688721	0.6532492228851464	0.7440940124183728
