gene,mean_sle,mean_control,delta_mean,cohen_d,welch_t,p_value,fdr_bh,auc_sle_high,discriminative_auc,n_sle_donors,n_control_donors,abs_cohen_d
RPS28,4.1477923,4.3458176,-0.19802523,-1.5434696547723965,-13.531002,6.500653e-32,1.95110599142e-27,0.12620027,0.87379974,162,99,1.5434696547723965
MDS2,0.049137715,0.08723459,-0.03809687,-1.5119151164716345,-11.543906,1.0567157e-23,3.338554212610527e-20,0.14365882,0.8563412,162,99,1.5119151164716345
NOG,0.01393521,0.037482217,-0.023547007,-1.5112065837979458,-10.144288,5.1556144999999996e-18,3.477317159617977e-15,0.16579375,0.8342062,162,99,1.5112065837979458
ARRDC3,0.2066268,0.3137118,-0.10708499,-1.3970284934090154,-9.984882,2.2660782e-18,1.638893279392771e-15,0.17701708,0.8229829,162,99,1.3970284934090154
RPL21,4.773277,5.004946,-0.23166943,-1.358891861205885,-10.888717,2.1324177e-22,4.2365202496258067e-19,0.16517022,0.8348298,162,99,1.358891861205885
RPS27,5.1852684,5.4388156,-0.2535472,-1.3559670774581734,-11.2190075,8.807689e-24,3.110046795835294e-20,0.17371243,0.82628757,162,99,1.3559670774581734
CELA1,0.024827674,0.049972143,-0.025144469,-1.3190731741204411,-9.66309,8.638899e-18,5.458692938652632e-15,0.17601946,0.82398057,162,99,1.3190731741204411
KRT73-AS1,0.017367465,0.035066552,-0.017699087,-1.3159537587965766,-9.233225,3.194188e-16,1.2450695926233767e-13,0.17888764,0.8211124,162,99,1.3159537587965766
RPS29,4.4826393,4.731872,-0.24923277,-1.2603495644932188,-10.552364,9.815558e-22,1.6366897656222223e-18,0.18456167,0.81543833,162,99,1.2603495644932188
HEXIM2-AS1,0.04911046,0.071898535,-0.022788074,-1.253368087302715,-9.420805,2.1819921e-17,1.2482167437257144e-14,0.1874922,0.8125078,162,99,1.253368087302715
SLC16A10,0.014234256,0.028711177,-0.014476921,-1.2362013858326195,-8.3511915,9.707575e-14,2.3861878267395918e-11,0.20588602,0.794114,162,99,1.2362013858326195
RPL35A,3.9989161,4.1064534,-0.10753727,-1.234797289091687,-10.324126,5.3074509999999996e-21,7.409201596e-18,0.18212993,0.8178701,162,99,1.234797289091687
TFAP4,0.02969538,0.045308065,-0.015612684,-1.233134958157478,-8.974398,6.919145300000001e-16,2.6122166922540886e-13,0.19210625,0.80789375,162,99,1.233134958157478
RPS14,4.4527254,4.6039453,-0.15121984,-1.2207409778030278,-10.232087,1.0016143400000001e-20,1.2526022000316667e-17,0.18898866,0.8110113,162,99,1.2207409778030278
FOXP1,0.637973,0.7985036,-0.16053057,-1.21600760885727,-8.278676,1.2765377e-13,3.065120202224e-11,0.23045267,0.76954734,162,99,1.21600760885727
ENSG00000262211,0.009074196,0.03231504,-0.023240842,-1.178946406035192,-7.787647,2.7599437e-12,5.082021485386503e-10,0.16161616,0.83838385,162,99,1.178946406035192
RPL39,4.384376,4.608656,-0.22427988,-1.1692487820386306,-9.775104,2.7645562999999997e-19,2.4768773966626865e-16,0.19484973,0.8051503,162,99,1.1692487820386306
