gene,cohen_d,auc_sle_high,fdr_bh,delta_mean
EPSTI1,1.7561596158883126,0.934094,0.0,0.20261705
ISG15,1.4454091909067546,0.9041651,4.9320369436533325e-27,0.46202388
PSME2,1.3856662647975393,0.8405038,1.221196485868e-21,0.21695083
LY6E,1.3735024441869028,0.8421873,7.24045805435e-25,0.42006898
IFI44,1.3490988845441714,0.87392443,1.9262815921039997e-24,0.11215153
CIAO2B,1.3433078608147768,0.8324604,2.3368645280999998e-20,0.07959996
IFI6,1.3293447327922367,0.85453296,5.666369672413334e-24,0.35109162
CYCS,1.3161093584741077,0.84187555,2.775323480168889e-22,0.15390846
NPDC1,1.3016955962597991,0.8734256,5.860808053714286e-23,0.06226375
CMC2,1.2953854471695347,0.8413144,3.5923264942095243e-20,0.034585178
H2AC6,1.2725919932110288,0.8237935,7.889109713415385e-21,0.03845129
IFI44L,1.2688968718788207,0.85222596,2.65614055408e-22,0.39197928
TNFRSF4,1.252190622147918,0.8531612,2.2003153348666668e-21,0.08563354
CLIC1,1.2514433860037897,0.81980294,1.3159266126400002e-18,0.1907103
TXN,1.2451870945074182,0.83850855,7.268837291816666e-20,0.13302246
