method_id,auc,n,delta_vs_scgpt_mean,method_family
raw_pseudobulk,0.9724517906336088,44.0,0.1267217630853994,expression_or_isg
focus_lite@scgpt,0.9669421487603306,44.0,0.12121212121212122,structured_scgpt_or_distributional
attention_mil@geneformer,0.9641873278236914,44.0,0.11845730027548207,geneformer_or_structured
red@geneformer,0.9641873278236914,44.0,0.11845730027548207,geneformer_or_structured
tail_fractions@geneformer,0.9614325068870524,44.0,0.11570247933884303,geneformer_or_structured
focus_lite@geneformer,0.9614325068870524,44.0,0.11570247933884303,geneformer_or_structured
red@scgpt,0.955922865013774,44.0,0.11019283746556463,structured_scgpt_or_distributional
prototype_histogram@geneformer,0.9421487603305785,44.0,0.09641873278236912,geneformer_or_structured
moments_mean_var@geneformer,0.9421487603305785,44.0,0.09641873278236912,geneformer_or_structured
moments_mean_var@scgpt,0.9256198347107438,44.0,0.07988980716253447,structured_scgpt_or_distributional
geneformer_mean,0.9256198347107438,44.0,0.07988980716253447,geneformer_or_structured
quantiles@geneformer,0.9173553719008265,44.0,0.07162534435261714,geneformer_or_structured
cckme_u@scgpt,0.9173553719008265,44.0,0.07162534435261714,structured_scgpt_or_distributional
donor_expression_pca,0.9146005509641874,44.0,0.06887052341597799,expression_or_isg
quantiles@scgpt,0.9090909090909091,44.0,0.0633608815426997,structured_scgpt_or_distributional
tail_fractions@scgpt,0.9090909090909091,44.0,0.0633608815426997,structured_scgpt_or_distributional
prototype_histogram@scgpt,0.9090909090909091,44.0,0.0633608815426997,structured_scgpt_or_distributional
cckme_u@geneformer,0.9035812672176308,44.0,0.057851239669421406,geneformer_or_structured
uder_kme@scgpt,0.8980716253443526,44.0,0.052341597796143224,structured_scgpt_or_distributional
kme_multiscale@geneformer,0.8925619834710744,44.0,0.04683195592286504,geneformer_or_structured
donor_mean_hvg,0.8925619834710743,44.0,0.04683195592286493,expression_or_isg
isg_vector,0.8760330578512397,44.0,0.030303030303030387,expression_or_isg
kme_multiscale@scgpt,0.8732782369146005,44.0,0.02754820936639113,structured_scgpt_or_distributional
attention_mil@scgpt,0.8732782369146005,44.0,0.02754820936639113,simple_embedding_or_learned
isg_scalar,0.8677685950413224,44.0,0.02203856749311306,expression_or_isg
scgpt_mean,0.8457300275482094,44.0,0.0,simple_embedding_or_learned
uder_meanvar@scgpt,0.8044077134986227,44.0,-0.04132231404958664,structured_scgpt_or_distributional
